"","B","G","N","U"
"B",0.982895540623091,0,0.0125229077580941,0.00458155161881491
"G",0.000305157155935307,0.981690570643882,0.0125114433933476,0.00549282880683552
"N",0.00446841294298921,0.0049306625577812,0.984437596302003,0.0061633281972265
"U",0.00172050665954733,0.00180949838331702,0.00266975171309068,0.993800243244045
"B",1,0,0.01635610736285,0.00690009451778271
"G",0.000903254315677872,1,0.0163411338132349,0.00803034015160981
"N",0.00609471976419115,0.00663901893720089,1,0.00807332869431543
"U",0.00216328925598981,0.00226358788707328,0.00322131811097745,1
"B",0.948935943747715,0,0.00868970815333815,0.0022630087198471
"G",0,0.947767334896283,0.00868175297346021,0.00295531746206123
"N",0.00284210612178727,0.00322230617836151,0.960298559954241,0.00425332770013758
"U",0.00127772406310485,0.00135540887956076,0.00211818531520392,0.983158521156594
