"","B","G","N","U"
"B",0.984639358860196,0,0.00957257346393589,0.00578806767586821
"G",0.00011127183709803,0.981528875041727,0.0114609992210971,0.00689885390007789
"N",0.00410296762589928,0.0056205035971223,0.98392535971223,0.0063511690647482
"U",0.000699940271763476,0.000737270419590862,0.00112923697177841,0.997433552336867
"B",1,0,0.0115957215094147,0.00736125381014186
"G",0.000329360675695603,1,0.0136743591955808,0.00861608713242927
"N",0.00504417396076929,0.00672210228893682,0.998500638604827,0.00752218453685881
"U",0.000858348789980354,0.000899848295611337,0.00133044281317418,1
"B",0.964120561349309,0,0.00754942541845703,0.00421488154159456
"G",0,0.9610459323099,0.00924763924661347,0.00518162066772651
"N",0.00316176129102927,0.00451890490530779,0.969350080819634,0.0051801535926376
"U",0.000541531753546599,0.000574692543570386,0.000928031130382632,0.991453705957504
