"","B","G","N","U"
"B",0.987202380952381,0,0.0110119047619048,0.00178571428571429
"G",0.000297265160523187,0.985136741973841,0.0124851367419738,0.00208085612366231
"N",0.00375262683878715,0.00525367757430201,0.988441909336536,0.00255178625037526
"U",0.00164838458310855,0.00158844332554097,0.00248756218905473,0.994275609902296
"B",1,0,0.0145601184426411,0.00321455734392594
"G",0.00087989429027241,1,0.0162610050552176,0.00362234790756074
"N",0.00522362983524196,0.00699419179194306,1,0.00376480639637191
"U",0.00208402220710438,0.00201608691950803,0.00302272149538884,1
"B",0.953606839897196,0,0.00746369108116843,0.000356871227502627
"G",0,0.951596325858557,0.0087092684287301,0.000539364339763878
"N",0.00228162384233234,0.00351316335666096,0.964568115305768,0.00133876610437861
"U",0.00121274695911273,0.00116079973157391,0.00195240288272061,0.983576454348578
