"","B","G","N","U"
"B",0.976744186046512,0,0.0146543485186365,0.00860146543485186
"G",0.000318268618714195,0.971992361553151,0.0178230426479949,0.00986632718014004
"N",0.00530546623794212,0.00755627009646302,0.977491961414791,0.00964630225080386
"U",0.00183936235438381,0.0019269510379259,0.00283203410119413,0.993401652506496
"B",1,0,0.0188891765737338,0.0118458979695396
"G",0.00094206377863666,1,0.0224910981839104,0.0133394716412622
"N",0.00711561707999428,0.00971653358583649,1,0.0120871091483024
"U",0.00229356033643114,0.00239183749368477,0.00339562087524696,1
"B",0.942170718366917,0,0.0104195204635392,0.00535703290016409
"G",0,0.937519564940294,0.0131549871120795,0.00639318271901788
"N",0.00349531539588996,0.00539600660708955,0.952921710795349,0.00720549535330528
"U",0.00138516437233649,0.00146206458216703,0.00226844732714129,0.982846269595069
