"","value","value.1","value.2","value.3","value.4","value.5"
"Mean",0.0793480793161394,0.0791265922159801,0.0768978066077013,0.0612531767605838,0.0652199068003438,0.0667673179187042
"Std.Dev",0.03851865459438,0.0377856009264037,0.0420253383014596,0.0342474261154244,0.0272377014836746,0.0302709814307542
"Min",0.0114989275497625,0.0140002192363126,0.0128488481623013,0.0159142100179329,0.0171005107528,0.0230698457455286
"Q1",0.0440878126764163,0.0504303657528328,0.0275187881286845,0.0292698951485973,0.0418939841207605,0.0433693569737952
"Median",0.0846014388386146,0.0739421701775253,0.0892034645516708,0.0534641295764683,0.0680787686811524,0.0567606930622162
"Q3",0.107179725185173,0.105273404977752,0.112144519704508,0.0935527246269182,0.0861689682752731,0.0969702589784648
"Max",0.170799172565534,0.176341328015745,0.143518852038309,0.134417373647107,0.120001058003655,0.130811314799793
"MAD",0.0439232172545801,0.0373021853133507,0.0475263160708294,0.0423401965981314,0.0320749448275438,0.0258109676264876
"IQR",0.0629954976111937,0.0535494419560827,0.0842535121819478,0.0640814917289393,0.0440670340697546,0.0527766880934178
"CV",0.485439029228591,0.477533530361903,0.546508933809443,0.559112652218595,0.417628647754079,0.453380222156177
"Skewness",0.108155476335998,0.563830279972437,-0.237830234997751,0.30862916076997,-0.0565171854761668,0.547821024588768
"SE.Skewness",0.200679498279449,0.219103865929017,0.200679498279449,0.219103865929017,0.200679498279449,0.219103865929017
"Kurtosis",-0.744225108329808,-0.300565712561971,-1.48776870549789,-1.34249734520528,-1.15522703441642,-0.99179512415149
"N.Valid",146,122,146,122,146,122
"Pct.Valid",100,100,100,100,100,100
