"","mean_esg_var","permno","q_25","q_50","q_75","rollwin"
"Mean",47.0889891846468,62650.3280363457,13.9936122433395,37.3078249964136,77.6285839465548,44.5031329802321
"Std.Dev",32.1256480456995,27861.8999779158,1.20485355211308,8.69122153666697,5.51170511115385,31.4306263890903
"Min",8.29,10026,11.8355555555556,23.2922222222222,66.9029166666667,8.514
"Q1",13.79,38703,12.8788888888889,28.1905555555556,73.9147222222222,13.33
"Median",39.3666666666667,76695,13.8246904761905,38.387619047619,79.2177777777778,34.2192222222222
"Q3",81.86,85753,15.1109090909091,44.6784722222222,82.385,78.1082702020202
"Max",95.64,93429,15.8722222222222,49.5497222222222,83.4013888888889,95.415
"MAD",40.618298,19991.3784,1.5880764,13.1879623333333,5.62152500000001,33.6686928666667
"IQR",68.0683333333333,47050,2.2320202020202,16.4879166666667,8.47027777777778,64.7750441919192
"CV",0.682232696049758,0.444720735727867,0.0861002528268963,0.232959748725702,0.0710009745243905,0.70625648767361
"Skewness",0.244983109309136,-0.698515413516006,0.0187762141368974,-0.203014792643649,-0.804461543823385,0.368940391835821
"SE.Skewness",0.0140151726446476,0.0111057423528939,0.0111057423528939,0.0111057423528939,0.0111057423528939,0.0138349512666313
"Kurtosis",-1.58512354033494,-1.05031324121439,-1.39661181393929,-1.32941190213266,-0.723639340153729,-1.49464687124423
"N.Valid",30543,48644,48644,48644,48644,31344
"Pct.Valid",62.7888331551682,100,100,100,100,64.4354905024258
