"","spmim...10.envscore_yr","spmim...10.ghg_yr","spmim...91.envscore_yr","spmim...91.ghg_yr","spmim...92.envscore_yr","spmim...92.ghg_yr","spmim...all.envscore_yr","spmim...all.ghg_yr"
"Mean",63.2848287441156,931.8763074798,34.7686414373819,1495.44761161138,22.4703268716721,741.99486950552,46.5688862476809,1032.51143799355
"Std.Dev",29.9856532847969,2544.69409082312,27.2118097159718,3732.73094005837,16.4949495911356,1553.89187765904,31.9754095993181,2794.52573403965
"Min",8.51166666666667,0,8.29,1.20096747758599,8.7,0,8.29,0
"Q1",36.3275,31.1410993352639,12.24,42.2237395601148,12.77,35.5592882678519,13.7433333333333,32.5350914657669
"Median",75.2825,79.9298104992417,22.7975,139.770700978064,13.7970833333333,72.1667166920741,38.1425,87.3013741436022
"Q3",90.1633333333333,390.041445915977,53.0966666666667,582.986544739657,26.065,546.487774006652,81.085,453.038585305162
"Max",95.5991666666667,21247.4055947098,95.32,21247.4055947098,94.2716666666667,9471.06809759244,95.5991666666667,21247.4055947098
"MAD",26.511359,93.9898768597643,18.1111945,181.858817307612,3.52426375,65.0930660070036,38.9367825,105.033897748255
"IQR",53.8358333333333,358.39316663163,40.8483333333333,538.788078503346,13.2875,507.552221968438,67.34,420.410759970707
"CV",0.4738205645786,2.73072088044076,0.782653810761632,2.49606265781272,0.734076975619368,2.09420838542264,0.686626032438352,2.70653247141764
"Skewness",-0.607959108368385,4.15736721766591,0.913296016227416,3.37629905164664,2.11108588669433,3.10565705869239,0.273112460770815,4.07176144137375
"SE.Skewness",0.0388856910264667,0.04907822322497,0.046574649386286,0.103602713097247,0.0635214405110422,0.251342368551371,0.0274634782678054,0.0441797994065689
"Kurtosis",-1.16007368028819,19.5815568340275,-0.564721693656246,11.3626744834836,4.17429839341204,11.2632953312254,-1.56690951926519,18.4176575141769
"N.Valid",3965,2488,2763,556,1484,92,7952,3071
"Pct.Valid",96.1212121212121,60.3151515151515,79.994209612044,16.0972785176607,27.6865671641791,1.71641791044776,63.1662562554611,24.3943124950353
