"","model_name...Brown.Bw.avg_obs","model_name...Brown.Bw.missing_obs","model_name...Brown.Bw.n_obs","model_name...Brown.Bw.pct_missing_obs","model_name...Brown.Fw.avg_obs","model_name...Brown.Fw.missing_obs","model_name...Brown.Fw.n_obs","model_name...Brown.Fw.pct_missing_obs","model_name...Green.Bw.avg_obs","model_name...Green.Bw.missing_obs","model_name...Green.Bw.n_obs","model_name...Green.Bw.pct_missing_obs","model_name...Green.Fw.avg_obs","model_name...Green.Fw.missing_obs","model_name...Green.Fw.n_obs","model_name...Green.Fw.pct_missing_obs","model_name...Neutral.Bw.avg_obs","model_name...Neutral.Bw.missing_obs","model_name...Neutral.Bw.n_obs","model_name...Neutral.Bw.pct_missing_obs","model_name...Neutral.Fw.avg_obs","model_name...Neutral.Fw.missing_obs","model_name...Neutral.Fw.n_obs","model_name...Neutral.Fw.pct_missing_obs"
"Mean",747.609176736538,4.9620253164557,236.569620253165,2.10648358275646,729.761198039531,13.5970149253731,186.925373134328,7.22422879825933,710.059886510822,32.4810126582278,237.075949367089,12.8432068541811,711.96651481759,23.4179104477612,186.701492537313,12.6015132258016,719.245899284969,49.3544303797468,471.050632911392,9.20902304102496,710.806705917735,44.1940298507463,371.671641791045,11.9137414717171
"Std.Dev",3.88605559546622,2.61378514200797,56.8569242438362,1.02217439716801,7.47639702926339,3.86930305169219,16.0163869046634,1.61582778975288,16.6309922752301,17.9578286331557,57.3432695963302,4.45848954638971,16.7475905540253,8.24648548415285,16.1545705375826,4.5538831546652,23.975543290489,38.0623772701263,113.359299295531,5.47500338305575,7.10333745135085,8.05142337495252,31.9376229451237,2.1168209233777
"Min",738.559782608696,0,178,0,711.082644628099,7,177,3.78378378378378,678.28431372549,11,178,5.94594594594595,679.820224719101,11,175,5.91397849462366,673.638436482085,12,353,3.30578512396694,690.016713091922,32,352,8.76712328767123
"Q1",744.899350649351,4,181,1.53846153846154,727.067039106145,11,180,6.04395604395604,695.640776699029,17,181,9.49720670391061,695.290502793296,15,180,8.02139037433155,692.119476268412,15,361,4.20168067226891,707.326704545455,38,359,10.3542234332425
"Median",746.616666666667,5,241,2.60586319218241,730.25,13,183,7.14285714285714,710.796703296703,25,241,12.2529644268775,711.845303867403,27,183,12.707182320442,728.694736842105,35,480,7.2463768115942,711.407103825137,43,363,11.3821138211382
"Q3",750.911764705882,6,303,2.79329608938547,733.857923497268,15,186,8.42696629213483,726.586592178771,48,303,15.8415841584158,727.069892473118,31,185,16.6666666666667,740.288515406162,90,605,15.2542372881356,716.221917808219,51,370,13.8418079096045
"Max",754.994475138122,10,308,3.31491712707182,743.632432432432,24,245,10.0840336134454,733.87027027027,71,310,23.202614379085,737.923076923077,35,245,19.5530726256983,745.860724233983,117,616,18.9935064935065,722.548209366391,59,489,16.4804469273743
"MAD",4.00233740331495,1.4826,88.956,0.937268558203326,5.11497000000007,2.9652,4.4478,1.72663043478261,22.9292651553744,16.3086,90.4386,4.1639117259552,22.571975066833,8.8956,4.4478,6.88321689538407,21.5429754655871,29.652,179.3946,4.63386287625418,6.5528240226987,8.8956,7.413,1.96854586426299
"IQR",5.97515733367277,2,121.5,1.18794491881691,6.50386916185346,3.5,5,2.19643212042419,30.6387134860439,30,122,6.2274315816498,30.4639779940329,16,5,8.64527629233511,45.8853020414884,75,243,11.0139708554414,8.8033884815743,12.5,10.5,3.43972123683044
"CV",0.0051979773876367,0.526757719945484,0.240339077278777,0.485251537460567,0.0102449911688212,0.284570037830271,0.0856833218310802,0.223667859210413,0.0234219572055443,0.552871575221863,0.241877211709653,0.347147686478182,0.023523003126511,0.352144376952353,0.0865261992180057,0.361375897724816,0.0333342787415598,0.77120487415747,0.240652047519602,0.59452597291432,0.00999334614067773,0.182183507639925,0.0859296738142836,0.177678937250987
"Skewness",-0.0264884261818595,-0.222787005383035,0.167018171193743,-0.765675370378526,-0.539928347075672,1.07799371976659,3.007277281096,-0.203557922703377,-0.231646409146844,0.620701841031611,0.163652915332662,0.525433891324862,-0.332926484199312,-0.183800101635987,2.98688070489,-0.0255909460411518,-0.453193652218166,0.451482170969285,0.169606678481712,0.427561546434537,-0.883995450219764,0.339037201016647,3.00756579087035,0.576587981900968
"SE.Skewness",0.270544799318691,0.270544799318691,0.270544799318691,0.270544799318691,0.29283625195483,0.29283625195483,0.29283625195483,0.29283625195483,0.270544799318691,0.270544799318691,0.270544799318691,0.270544799318691,0.29283625195483,0.29283625195483,0.29283625195483,0.29283625195483,0.270544799318691,0.270544799318691,0.270544799318691,0.270544799318691,0.29283625195483,0.29283625195483,0.29283625195483,0.29283625195483
"Kurtosis",-0.744445622102979,-0.357228708054822,-1.82083094772914,-0.61345515650203,0.110372401792552,1.50897141739795,7.57765038150575,-0.797412127824109,-1.28215303306542,-0.976073534939698,-1.82607253781613,-0.51697330353537,-1.21254924623619,-1.71630764191421,7.47972601247346,-1.63077568310037,-1.44828983608762,-1.59984647130268,-1.81668594263288,-1.5945048283786,0.596303208537589,-1.17293913385086,7.60440444365041,-0.757241281100999
"N.Valid",79,79,79,79,67,67,67,67,79,79,79,79,67,67,67,67,79,79,79,79,67,67,67,67
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
