"","model_name...Brown.Bw.avg_obs","model_name...Brown.Bw.missing_obs","model_name...Brown.Bw.n_obs","model_name...Brown.Bw.pct_missing_obs","model_name...Brown.Fw.avg_obs","model_name...Brown.Fw.missing_obs","model_name...Brown.Fw.n_obs","model_name...Brown.Fw.pct_missing_obs","model_name...Green.Bw.avg_obs","model_name...Green.Bw.missing_obs","model_name...Green.Bw.n_obs","model_name...Green.Bw.pct_missing_obs","model_name...Green.Fw.avg_obs","model_name...Green.Fw.missing_obs","model_name...Green.Fw.n_obs","model_name...Green.Fw.pct_missing_obs","model_name...Neutral.Bw.avg_obs","model_name...Neutral.Bw.missing_obs","model_name...Neutral.Bw.n_obs","model_name...Neutral.Bw.pct_missing_obs","model_name...Neutral.Fw.avg_obs","model_name...Neutral.Fw.missing_obs","model_name...Neutral.Fw.n_obs","model_name...Neutral.Fw.pct_missing_obs"
"Mean",745.643797918547,3.01369863013699,98.3287671232877,3.06973937074203,729.110072572896,7.34426229508197,93.9508196721311,7.76450590418228,745.925504704692,2.3972602739726,98.3287671232877,2.41864201157967,735.399266805123,5.68852459016393,94.016393442623,5.93175783246258,741.417096675079,7.84931506849315,195.219178082192,4.01520571235105,725.859645090265,16.344262295082,186.344262295082,8.67201932954477
"Std.Dev",6.10992900807782,1.41904849463892,1.74845006379101,1.45665958381351,9.40506793297732,3.29082181175483,4.75193374500738,3.31450007299068,8.42842110321208,2.19683943445147,1.74845006379101,2.20443421042962,12.3809137285583,3.69026188594864,4.70634962321716,3.77069325989516,2.65571821866062,1.57824826307798,3.66381167389034,0.77683676972507,11.1734682122654,5.36309999254672,9.07539759625189,2.61115695706086
"Min",729.736842105263,0,94,0,703.479591836735,4,77,5.10204081632653,729.68,0,94,0,707.443298969072,1,78,1.14942528735632,736.277227722772,5,185,2.56410256410256,705.787564766839,7,156,4.09356725146199
"Q1",741.60824742268,2,97,2.02020202020202,726.421052631579,5,93,5.31914893617021,737.86,1,97,1.02040816326531,727.15306122449,3,93,3.15789473684211,739.725,7,193,3.60824742268041,714.630208333333,13,185,7.02702702702703
"Median",745.989690721649,3,98,3.06122448979592,731.610526315789,5,96,5.81395348837209,747.731958762887,1,98,1.04166666666667,737.724489795918,4,96,4.25531914893617,741.130208333333,8,194,4.02010050251256,728.026737967914,16,191,8.29015544041451
"Q3",751.030303030303,4,100,4.08163265306122,734.906976744186,11,97,11.7021276595745,754,4,100,4.25531914893617,746.057471264368,10,97,10.2040816326531,743.420212765957,9,199,4.54545454545455,735.297297297297,21,193,10.9375
"Max",755,5,102,5.20833333333333,742.584415584416,14,98,14.4329896907216,757.357142857143,6,102,6.12244897959184,751.77380952381,11,98,11.4583333333333,747.544041450777,12,202,6.06060606060606,743.541666666667,26,195,13.5416666666667
"MAD",7.36956770439938,1.4826,1.4826,1.54341991341991,5.94002942889145,0,2.9652,0.897892441860464,10.7755979381443,1.4826,1.4826,1.544375,14.1240973214286,4.4478,2.9652,4.56470087609512,2.43837406740832,1.4826,4.4478,0.745025125628142,16.6110967503086,5.9304,4.4478,3.23362287388438
"IQR",9.42205560762261,2,3,2.0614306328592,8.48592411260711,6,4,6.38297872340426,16.14,3,3,3.23491098567086,18.904410039878,7,4,7.04618689581096,3.69521276595742,2,6,0.937207122774134,20.6670889639639,8,8,3.91047297297297
"CV",0.00819416593436918,0.470866091402915,0.0177816738167656,0.474522233938511,0.0128993800617629,0.448080648475545,0.0505789493012477,0.426878427796076,0.011299279954972,0.916395878371183,0.0177816738167656,0.911434681062973,0.016835635126951,0.648720389172528,0.0500588190089358,0.635678894249422,0.00358194898737878,0.201068277844141,0.0187676831235699,0.193473716012972,0.0153934280378349,0.328133500045486,0.0487023184104307,0.301101376488506
"Skewness",-0.542019091679781,-0.311402151119294,-0.27086017925771,-0.29234600252923,-1.07826601544441,0.883859323427182,-1.36783054973289,0.892646373942575,-0.290341990024874,0.550809721999163,-0.27086017925771,0.539404384914745,-0.577420678137001,0.257167183954687,-1.31506273404873,0.275776555873291,0.177499831305548,-0.00584578688111782,-0.159396737978797,-0.0295621824793069,-0.0215902374996108,-0.255675774702294,-1.31373968434198,-0.185155929887133
"SE.Skewness",0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.306269909585923,0.306269909585923,0.306269909585923,0.306269909585923,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.306269909585923,0.306269909585923,0.306269909585923,0.306269909585923,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.306269909585923,0.306269909585923,0.306269909585923,0.306269909585923
"Kurtosis",-0.537291689327145,-0.958215685813236,-0.509097706082269,-0.963573382774765,0.517204890460248,-1.01618221743118,1.19121476448847,-1.02099576171052,-1.34432700870421,-1.27865403986213,-0.509097706082269,-1.29656419967356,-0.755049224406267,-1.5342759659847,0.83701373390865,-1.53128910060674,-0.653585726126103,-0.378099593652235,-0.610373533841261,-0.334542523091452,-1.42894890092233,-1.02752019180794,0.739279781681085,-1.03425793572141
"N.Valid",73,73,73,73,61,61,61,61,73,73,73,73,61,61,61,61,73,73,73,73,61,61,61,61
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
