"","model_name...Brown.Bw.avg_obs","model_name...Brown.Bw.missing_obs","model_name...Brown.Bw.n_obs","model_name...Brown.Bw.pct_missing_obs","model_name...Green.Bw.avg_obs","model_name...Green.Bw.missing_obs","model_name...Green.Bw.n_obs","model_name...Green.Bw.pct_missing_obs","model_name...Neutral.Bw.avg_obs","model_name...Neutral.Bw.missing_obs","model_name...Neutral.Bw.n_obs","model_name...Neutral.Bw.pct_missing_obs"
"Mean",747.464290294788,4.64383561643836,230.849315068493,2.04250118446346,712.398724720175,29.6027397260274,231.397260273973,12.0866484107715,720.323560924503,45.9452054794521,459.561643835616,8.74370627206388
"Std.Dev",3.9911872755871,2.44591418386356,55.36486833144,1.03450622119408,15.0313114341657,15.4225121584824,55.9622242941183,3.71383727810052,24.6297631749626,37.6013040594483,110.268105883061,5.43792698563491
"Min",738.559782608696,0,178,0,683.441935483871,11,178,5.94594594594595,673.638436482085,12,353,3.30578512396694
"Q1",744.840659340659,3,181,1.35593220338983,699.071428571429,17,181,9.44444444444444,691.548109965636,15,361,4.18994413407821
"Median",746.413680781759,5,184,2.28013029315961,712.576923076923,24,184,11.8773946360153,737.476056338028,19,366,5.20547945205479
"Q3",750.870786516854,6,299,2.79329608938547,727.117318435754,44,301,14.5695364238411,740.501408450704,90,593,15.2542372881356
"Max",754.994475138122,10,308,3.31491712707182,733.87027027027,62,310,20,745.860724233983,117,616,18.9935064935065
"MAD",3.8123177424205,1.4826,8.8956,0.892937280020987,21.557590159003,13.3434,8.8956,3.78379618915375,10.7343162286114,8.8956,16.3086,2.37864106553334
"IQR",6.03012717619458,3,118,1.43736388599564,28.0458898643257,27,120,5.12509197939661,48.9532984850686,75,232,11.0642931540574
"CV",0.00533963605674466,0.526701284430797,0.239831200343883,0.506489900257185,0.021099576560963,0.52098259489552,0.241844800702737,0.307267751313985,0.0341926385739089,0.818394512921802,0.239941925881229,0.621924709777714
"Skewness",0.0598122410093827,-0.286897261183095,0.339292423397639,-0.66639327950919,-0.229596693266394,0.632039225109669,0.337155126990756,0.292101801549733,-0.567898495516203,0.664389462540558,0.341399230489031,0.631991383835693
"SE.Skewness",0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921,0.281029216829921
"Kurtosis",-0.82422863827707,-0.212687149144656,-1.70902785780802,-0.776717979319069,-1.33226490310252,-1.00402375869838,-1.71463887536029,-0.775841961646212,-1.41259282653582,-1.34101264286652,-1.704035460397,-1.36354136148708
"N.Valid",73,73,73,73,73,73,73,73,73,73,73,73
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100
