"","model_name...Brown.Bw.avg_obs","model_name...Brown.Bw.missing_obs","model_name...Brown.Bw.n_obs","model_name...Brown.Bw.pct_missing_obs","model_name...Brown.Fw.avg_obs","model_name...Brown.Fw.missing_obs","model_name...Brown.Fw.n_obs","model_name...Brown.Fw.pct_missing_obs","model_name...Green.Bw.avg_obs","model_name...Green.Bw.missing_obs","model_name...Green.Bw.n_obs","model_name...Green.Bw.pct_missing_obs","model_name...Green.Fw.avg_obs","model_name...Green.Fw.missing_obs","model_name...Green.Fw.n_obs","model_name...Green.Fw.pct_missing_obs","model_name...Neutral.Bw.avg_obs","model_name...Neutral.Bw.missing_obs","model_name...Neutral.Bw.n_obs","model_name...Neutral.Bw.pct_missing_obs","model_name...Neutral.Fw.avg_obs","model_name...Neutral.Fw.missing_obs","model_name...Neutral.Fw.n_obs","model_name...Neutral.Fw.pct_missing_obs"
"Mean",35.5210141207985,3.55555555555556,98.3333333333333,3.61496224757944,34.7218605564026,7.65217391304348,93.8695652173913,8.07183198535683,35.5524273772829,2.92592592592593,98.3333333333333,2.94944827158711,34.9815912989202,5.91304347826087,94.0434782608696,6.14893983949207,35.3405980271696,8.62962962962963,195.148148148148,4.41621814415612,34.5627773662554,16.7826086956522,186,8.90644733532306
"Std.Dev",0.322001293287723,1.39596488090423,2.05688337801861,1.41332528581927,0.526338206869171,3.3657188297757,5.55390401450831,3.32678426483348,0.398454884058723,2.49500926352413,2.05688337801861,2.49419140579483,0.67555673051104,3.67934089302889,5.45625796568878,3.73439161182272,0.0977760023394274,1.90441083455767,4.06394752865604,0.943424062535163,0.598360943065206,5.63234588409685,10.6728201947325,2.71673534095859
"Min",34.7473684210526,1,95,0.980392156862745,33.7113402061856,4,77,5.15463917525773,34.8947368421053,0,95,0,33.7731958762887,1,78,1.14942528735632,35.1573604060914,5,188,2.60416666666667,33.7947368421053,7,156,4.11764705882353
"Q1",35.2755102040816,3,97,3,34.1030927835052,5,93,5.26315789473684,35.1530612244898,1,97,1.03092783505155,34.4536082474227,3,94,3.15789473684211,35.2361809045226,7,192,3.66492146596859,33.9583333333333,13,184,6.95187165775401
"Median",35.469387755102,4,98,4,34.8775510204082,6,96,6.12244897959184,35.6907216494845,2,98,1.98019801980198,35.1134020618557,5,96,5.15463917525773,35.3589743589744,9,195,4.52261306532663,34.639175257732,18,190,9.27835051546392
"Q3",35.7575757575758,5,100,4.95049504950495,35.1182795698925,11,97,11.7021276595745,35.9489795918367,6,100,5.94059405940594,35.6206896551724,9,97,9.27835051546392,35.3915343915344,10,199,5.10204081632653,35.132183908046,22,192,11.0552763819095
"Max",35.9587628865979,6,102,5.94059405940594,35.4545454545455,13,101,13.4020618556701,36,7,102,6.93069306930693,35.7948717948718,11,101,11.340206185567,35.5360824742268,12,201,6.03015075376884,35.4411764705882,25,199,13.1578947368421
"MAD",0.358292503536071,1.4826,2.9652,1.4826,0.397864039408864,1.4826,2.9652,1.35526785714286,0.458536082474225,2.9652,2.9652,2.93584158415842,0.752104585851398,5.9304,2.9652,5.70113195876289,0.104248374306106,1.4826,5.9304,1.01664886934673,0.986250612113395,5.9304,5.9304,2.67918592250267
"IQR",0.474716987273382,2,3,1.95049504950495,0.795727203418778,6,4,6.03131283940806,0.738330975954739,4.5,3,4.57094814201984,1.0184639494889,6,3,5.9279266929703,0.132231771046662,3,7,1.42417000818453,1.11314189305413,9,8,3.8437083691245
"CV",0.00906509291071122,0.392615122754313,0.0209174580815451,0.390965434498139,0.0151586982504633,0.43983825616387,0.0591661844991622,0.412147362688994,0.0112075296527664,0.852724685001918,0.0209174580815451,0.845646770557765,0.0193117781503523,0.622241474556356,0.0580184619560065,0.607322840896618,0.00276667650797131,0.22068280057106,0.0208249351439956,0.213627142441678,0.0173122934168306,0.335606101902144,0.0573807537351212,0.305030192025499
"Skewness",-0.263077444520514,-0.354994523251729,6.64506597063316e-15,-0.382782953879512,-0.548524600797732,0.55537480146908,-1.35560349332861,0.590251697996634,-0.346296505308895,0.352871882938658,6.64506597063316e-15,0.334229761553472,-0.3571222307913,0.0398990638977079,-1.28971313576511,0.0581017208266274,0.206763193067299,0.032953746060935,-0.142884001207,0.00346779319662921,0.0875802354809644,-0.39848579491364,-1.17610375802612,-0.333036318742957
"SE.Skewness",0.447852016375307,0.447852016375307,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.48133666148028,0.48133666148028
"Kurtosis",-0.813604910774799,-0.927065877819956,-1.20533414957657,-0.965698208399558,-1.08580451613066,-1.56331137525714,1.41565071016636,-1.52068054793153,-1.48361504003923,-1.60410121591924,-1.20533414957657,-1.63449667247638,-1.362304771348,-1.64478075465507,1.05053650241164,-1.62846903631635,-0.761484933646949,-0.992411297832895,-1.29255071197236,-1.03061426283519,-1.74262967534136,-1.21497541570328,0.632827416359036,-1.20466145837524
"N.Valid",27,27,27,27,23,23,23,23,27,27,27,27,23,23,23,23,27,27,27,27,23,23,23,23
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
