"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0629,-0.0676,-0.0692,-0.0746,-0.0406,-0.0416,-0.0411,-0.0481,-0.0529,-0.0406
"Quartile 1",-0.0053,-0.0055,-0.0082,-0.0089,-0.0036,-0.0038,-0.0043,-0.0051,-0.0071,-0.0034
"Median",8e-04,0.001,3e-04,5e-04,8e-04,0.001,0.0012,6e-04,9e-04,8e-04
"Arithmetic Mean",7e-04,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04,6e-04,6e-04,6e-04
"Geometric Mean",6e-04,6e-04,5e-04,4e-04,6e-04,6e-04,6e-04,5e-04,5e-04,6e-04
"Quartile 3",0.007,0.0071,0.009,0.0096,0.0052,0.0054,0.0061,0.0064,0.0077,0.0051
"Maximum",0.043,0.0447,0.0695,0.0732,0.0342,0.031,0.0345,0.0349,0.0462,0.0335
"SE Mean",3e-04,3e-04,4e-04,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04
"LCL Mean (0.95)",2e-04,1e-04,-2e-04,-2e-04,2e-04,2e-04,2e-04,1e-04,-1e-04,2e-04
"UCL Mean (0.95)",0.0012,0.0012,0.0013,0.0013,0.001,0.0011,0.0011,0.001,0.0012,0.001
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0107,0.0115,0.0153,0.0157,0.0082,0.0085,0.0095,0.0098,0.0126,0.0081
"Skewness",-0.4001,-0.4347,0.0403,0.1336,-0.3627,-0.3755,-0.4305,-0.2064,-0.093,-0.3983
"Kurtosis",2.052,2.1708,1.7087,1.5894,1.9606,1.8413,1.7858,1.2988,0.9542,2.0167
