"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.057,-0.0602,-0.0676,-0.0718,-0.0454,-0.044,-0.0525,-0.0513,-0.0604,-0.0445
"Quartile 1",-0.0063,-0.0063,-0.0096,-0.0104,-0.0043,-0.0044,-0.0059,-0.006,-0.0082,-0.0043
"Median",0.0011,0.0013,5e-04,5e-04,0.0011,0.0011,0.0014,7e-04,7e-04,0.0012
"Arithmetic Mean",9e-04,0.001,6e-04,5e-04,8e-04,9e-04,9e-04,6e-04,6e-04,8e-04
"Geometric Mean",8e-04,9e-04,5e-04,4e-04,7e-04,8e-04,9e-04,5e-04,5e-04,7e-04
"Quartile 3",0.0091,0.0091,0.011,0.0114,0.0064,0.007,0.0078,0.0074,0.0093,0.0063
"Maximum",0.0499,0.0585,0.0733,0.0773,0.0341,0.032,0.044,0.0429,0.0539,0.0352
"SE Mean",3e-04,3e-04,4e-04,4e-04,2e-04,2e-04,3e-04,3e-04,4e-04,2e-04
"LCL Mean (0.95)",3e-04,3e-04,-3e-04,-4e-04,3e-04,4e-04,4e-04,0,-1e-04,3e-04
"UCL Mean (0.95)",0.0016,0.0016,0.0015,0.0014,0.0012,0.0014,0.0015,0.0011,0.0013,0.0012
"Variance",2e-04,2e-04,3e-04,3e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0127,0.013,0.0174,0.0174,0.0093,0.0097,0.0112,0.0108,0.0138,0.0093
"Skewness",-0.3572,-0.229,0.0318,0.0374,-0.3313,-0.3752,-0.3929,-0.2134,-0.0553,-0.3075
"Kurtosis",1.2126,1.2453,1.508,1.2882,1.3404,1.2665,1.2679,1.051,0.9782,1.2977
