"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0096,0.0094,0.0163,0.0144,0.0065,0.0067,0.0077,0.0077,0.0106,0.0064
"Gain Deviation",0.0078,0.0074,0.0179,0.0135,0.0055,0.0056,0.0063,0.0067,0.01,0.0054
"Loss Deviation",0.0093,0.0092,0.0148,0.0128,0.0062,0.0064,0.0074,0.0071,0.0096,0.0061
"Downside Deviation (MAR=210%)",0.0141,0.014,0.0211,0.0193,0.0114,0.0116,0.0124,0.0126,0.0154,0.0113
"Downside Deviation (Rf=0%)",0.0092,0.0091,0.0162,0.0143,0.0061,0.0064,0.0074,0.0074,0.0103,0.006
"Downside Deviation (0%)",0.0092,0.0091,0.0162,0.0143,0.0061,0.0064,0.0074,0.0074,0.0103,0.006
"Maximum Drawdown",0.2381,0.1993,0.7342,0.694,0.1907,0.202,0.1971,0.339,0.5474,0.1674
"Historical VaR (95%)",-0.0219,-0.0215,-0.0365,-0.0344,-0.014,-0.0146,-0.0171,-0.0168,-0.0228,-0.0138
"Historical ES (95%)",-0.0306,-0.0299,-0.0501,-0.0435,-0.02,-0.021,-0.0242,-0.0238,-0.0324,-0.0197
"Modified VaR (95%)",-0.0217,-0.0214,-0.0344,-0.0329,-0.0145,-0.015,-0.0173,-0.0174,-0.0237,-0.0142
"Modified ES (95%)",-0.0313,-0.0307,-0.042,-0.0427,-0.0208,-0.0215,-0.0247,-0.0242,-0.0326,-0.0206
