"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0534,-0.0564,-0.1122,-0.0739,-0.0406,-0.0427,-0.0455,-0.0585,-0.0631,-0.0408
"Quartile 1",-0.0061,-0.0063,-0.0144,-0.0121,-0.0042,-0.0051,-0.0056,-0.0083,-0.0084,-0.004
"Median",0.001,0.001,-4e-04,0,8e-04,9e-04,0.0011,5e-04,5e-04,9e-04
"Arithmetic Mean",7e-04,7e-04,3e-04,2e-04,7e-04,7e-04,7e-04,4e-04,5e-04,7e-04
"Geometric Mean",6e-04,6e-04,0,0,6e-04,6e-04,7e-04,3e-04,4e-04,7e-04
"Quartile 3",0.0087,0.0086,0.0128,0.0121,0.006,0.0069,0.0073,0.0091,0.0097,0.0059
"Maximum",0.0519,0.041,0.1562,0.0767,0.0348,0.0341,0.0338,0.0579,0.0607,0.0328
"SE Mean",3e-04,3e-04,6e-04,5e-04,2e-04,3e-04,3e-04,4e-04,4e-04,2e-04
"LCL Mean (0.95)",1e-04,1e-04,-0.001,-8e-04,2e-04,2e-04,2e-04,-3e-04,-2e-04,2e-04
"UCL Mean (0.95)",0.0014,0.0014,0.0015,0.0012,0.0011,0.0012,0.0013,0.0012,0.0013,0.0011
"Variance",2e-04,2e-04,6e-04,4e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04
"Stdev",0.013,0.0127,0.0242,0.0206,0.0089,0.0101,0.0105,0.0147,0.0151,0.0087
"Skewness",-0.3572,-0.4307,0.4948,0.0907,-0.2718,-0.3406,-0.3379,0.0595,0.0395,-0.288
"Kurtosis",1.1865,1.1051,3.2854,0.632,1.1924,1.0421,1.0025,1.2391,1.3075,1.2295
