"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.75366395020631,0.169080137308995,0.169945322075981,0.994909040411252,-0.400064754486505,2.05200382492126,-0.0176678728623859,-0.0275241277660565,0.330740793624305,0.187614878822853
"top_10_alpha",1.57066988075121,0.156747251004189,0.181871834390082,0.861855556303424,-0.434716847861524,2.17084805028145,-0.0190681826582163,-0.0300179728118398,0.406976416277649,0.0569476506561528
"bot_10_ratio",1.11542655109987,0.122493337933248,0.242481955922511,0.505164755320565,0.0402973722163447,1.70872800385557,-0.0238401972985338,-0.033437914532532,0.461342697420777,-0.150640362312937
"bot_10_alpha",0.915101979995639,0.105402433267179,0.249120889932677,0.423097530261967,0.133613263587384,1.58941898606158,-0.024180070742264,-0.0328890520393435,0.451491270917364,-0.233442444306925
"bm_ex_ratio",1.53120567592392,0.153990604241507,0.130037642757058,1.18420021292757,-0.362686440436583,1.96060890592151,-0.0133677790556558,-0.0206534102112557,0.145110558648525,0.122652318804944
"top_10_ratio_pct",1.76564944153517,0.169863458167826,0.134921480209036,1.25898009645799,-0.375505696603911,1.84132214520424,-0.0138855365553443,-0.0212983681035558,0.167033868291973,0.458612233145956
"top_10_alpha_pct",1.79211950398962,0.17158330773241,0.150265875122855,1.14186476199022,-0.430519468614484,1.78582209419472,-0.0156758009101029,-0.0239953605004168,0.257818430892191,0.310535120944286
"bot_10_ratio_pct",1.34297340647835,0.140319484174201,0.155379115090186,0.903078152380747,-0.206362061190236,1.2988481382876,-0.0158353991542822,-0.022776323320679,0.257187891289183,-0.13600476574348
"bot_10_alpha_pct",1.18938680821988,0.128458200472886,0.199432856825813,0.644117536685961,-0.093038659667539,0.954205021907399,-0.0201877879946043,-0.0277864572763397,0.359859514486526,-0.168238469561066
"bm_ex_ratio_pct",1.52552553866568,0.153590848539448,0.128891414724932,1.19162978284649,-0.398275683106477,2.01672731737771,-0.0133153929880956,-0.0207316396761888,0.131213574954945,0.107011410550441
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.0152768808829684,0.00234096333419664,0.216112468448567,0.0108321530497615,-0.482214384485341,2.77193801635473,-0.0233282851480621,-0.0381162077878702,0.526638065341575,-0.566431367338943
"long_short_ratio_pct",0.136950382144167,0.0199916351493741,0.0752592861205007,0.265636789556636,-0.378777578930009,3.81152899622181,-0.00783885533475574,-0.0134510928948162,0.17844954986635,-0.849011929612923
"long_short_alpha",0.0437440411743832,0.0066247854003898,0.22048456794096,0.0300464810859857,-0.572769061022963,3.39566740137902,-0.0239392007200159,-0.0411419346512004,0.52566187149093,-0.546167224373747
"long_short_alpha_pct",0.123710801328587,0.0181507503396554,0.147945902692535,0.12268504912486,-0.315124599025444,2.41276263950067,-0.0155735453473214,-0.0243664202256911,0.38971392585297,-0.641053162390691
