"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",2.7819614541069,0.227713775851613,0.208546510086323,1.09190883010872,-0.349718990602486,1.39080935805535,-0.0216080464341696,-0.0318165552338492,0.320970100725782,0.546409646081246
"top_10_alpha",2.7983010090303,0.228530314315384,0.211342146491471,1.08132863278459,-0.260314791138703,1.4368523122925,-0.0215679075289091,-0.0316179819094953,0.308917452236699,0.530389115615239
"bot_10_ratio",1.33542705635821,0.139752283249421,0.274086259896579,0.509884309057132,0.0145974886468992,1.44103137552349,-0.0271492438903127,-0.0377747999936843,0.60570700455308,-0.0478523158082025
"bot_10_alpha",1.0242430403756,0.114891678224422,0.273979667425802,0.419343812275913,0.0112788791461713,1.24188059660905,-0.0273117309065666,-0.0375538265488835,0.594826378797194,-0.161833615401571
"bm_ex_ratio",2.21647481244508,0.197428446048153,0.148277338535687,1.33148091271302,-0.378635728050247,1.34847356922165,-0.0153260597168145,-0.0225781491938459,0.193410072468932,0.688908047401278
"top_10_ratio_pct",2.95051233837742,0.235997354776678,0.153840439595349,1.53403978432087,-0.407693869896338,1.20736932890199,-0.0159037474638895,-0.0232031254220961,0.207762736377558,1.13107542625159
"top_10_alpha_pct",2.90773780223281,0.233923896777985,0.179342938269734,1.30433848711768,-0.423441409904336,1.26211910262783,-0.0187124313025474,-0.0273876640040662,0.288006255352168,0.780233980624717
"bot_10_ratio_pct",1.3493745345561,0.140799397688726,0.171802079586556,0.819544198926823,-0.247589466590845,1.07465047444742,-0.0177288707388653,-0.0251403835563483,0.3049821559341,-0.0948537503850487
"bot_10_alpha_pct",1.42408536304036,0.146320455677711,0.217563775410704,0.672540524733477,-0.0763686835621853,0.973795341969593,-0.0219269357184238,-0.0301572267158834,0.462848836543349,-0.0255025752635199
"bm_ex_ratio_pct",2.17507195196407,0.195038298537269,0.149055652678989,1.30849313683736,-0.359472372038707,1.32622773647634,-0.0153735448011598,-0.0225749084091327,0.192483711635174,0.637785642163981
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.195574873387525,0.0279313358976436,0.249200788256983,0.112083657892928,-0.183686653226805,1.64926871177332,-0.0258677011241594,-0.0377199613470745,0.520235762414138,-0.429364765035405
"long_short_ratio_pct",0.616826473271218,0.0769130717564113,0.0796808335741921,0.965264396798714,-0.129056263900059,1.62653732752602,-0.00796480963182961,-0.011591530736099,0.174140230490742,-0.478816981280863
"long_short_alpha",0.40177143896107,0.0534670698189958,0.244428831983173,0.218742892911572,-0.0842996501831024,1.39319620594128,-0.0249277124842334,-0.035173707644553,0.526880020137069,-0.342961788854538
"long_short_alpha_pct",0.404456548990435,0.0537780285857752,0.165843690068238,0.324269368123971,-0.142757373850345,1.21422247862113,-0.0170802304119217,-0.0240550224705339,0.397700828002853,-0.450338809491948
