"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.62492576509886,0.160479270410173,0.211735988863047,0.757921557274674,-0.407759136067613,1.38425499029008,-0.0223839531165358,-0.0329303392093569,0.238091370402623,0.0720057912637132
"top_10_alpha",1.61422331407446,0.159748296033946,0.204595638488118,0.780800105097177,-0.426745335827314,1.04637971851354,-0.021768142178429,-0.0310606569248424,0.199258421906612,0.068533062863923
"bot_10_ratio",0.0809788137630316,0.0120812506454095,0.380202802495437,0.0317758064015179,0.523475503703727,3.42901119220697,-0.0337078870542023,-0.040325119555047,0.729180169861225,-0.412074602934492
"bot_10_alpha",0.205918648216369,0.0292979044972672,0.326948755587113,0.0896100810803088,0.192047103006684,1.08793536460296,-0.0319503617605592,-0.0417414816729414,0.694018899624227,-0.43126265450645
"bm_ex_ratio",1.78712566548711,0.171259899646535,0.143061988481231,1.19710274870815,-0.329675628563209,1.23396662455076,-0.014752379472106,-0.0214250940227796,0.190969650348097,0.389821484840592
"top_10_ratio_pct",1.84012453112942,0.174667478683345,0.148292803487918,1.17785539537376,-0.381394027409739,1.13318511119482,-0.0154514597919337,-0.0222922464774226,0.199969035366378,0.413754173107177
"top_10_alpha_pct",2.01953020982576,0.185816744704224,0.169683410630381,1.09507902990579,-0.401315396842406,1.11221410155319,-0.0177895998667928,-0.0256093509957187,0.197120399695752,0.410777404138104
"bot_10_ratio_pct",1.51292234020533,0.152701140186263,0.171530314736798,0.890228298249043,-0.1930069856143,0.899601729757658,-0.0175343495194575,-0.0243911612130555,0.33322517043988,0.0257667517685988
"bot_10_alpha_pct",1.17922215065205,0.127648622854583,0.237507940078236,0.537449917727109,0.0354601491733877,1.29162005723201,-0.023472479434927,-0.0322366078861129,0.54740347658224,-0.129248070978943
"bm_ex_ratio_pct",1.82612249453803,0.17377247563151,0.140287242643939,1.23869050639593,-0.344396543425704,1.28217104662469,-0.0144730706676867,-0.0211368974869664,0.167848426898658,0.450470622210508
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.143932291257533,0.0209551374063757,0.36364335970488,0.0576255191993114,-0.707191088958495,3.65767527757252,-0.0400180819192404,-0.0706531659920191,0.762452808335812,-0.328237316378647
"long_short_ratio_pct",0.0831488196050538,0.0123943190236477,0.0756290393138393,0.163883068409937,-0.481958304067899,1.79175077738466,-0.00823324123230635,-0.0124872906075642,0.195425259671852,-0.908805823967703
"long_short_alpha",0.308238983784715,0.0423073619259124,0.301512008508861,0.140317336397794,-0.300891198332068,1.38926314266169,-0.0319458457695608,-0.0464047606702278,0.592572430474883,-0.322621368587607
"long_short_alpha_pct",0.139340612499012,0.0203220484823401,0.181110381194125,0.112208081879954,-0.496206229113157,2.08145399480629,-0.0196919618293796,-0.0306093767709084,0.43928122010626,-0.565554040302729
