"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0078,0.0088,0.014,0.0149,0.0061,0.0079,0.0091,0.0142,0.0151,0.0061
"Gain Deviation",0.0066,0.0073,0.0155,0.0164,0.0053,0.0067,0.0076,0.0158,0.0166,0.0053
"Loss Deviation",0.0075,0.0085,0.0137,0.0144,0.0057,0.0075,0.0088,0.0138,0.0144,0.0058
"Downside Deviation (MAR=210%)",0.0127,0.0135,0.0188,0.0196,0.0112,0.0128,0.0138,0.019,0.0198,0.0112
"Downside Deviation (Rf=0%)",0.0075,0.0086,0.0139,0.0148,0.0058,0.0076,0.0088,0.0141,0.0149,0.0058
"Downside Deviation (0%)",0.0075,0.0086,0.0139,0.0148,0.0058,0.0076,0.0088,0.0141,0.0149,0.0058
"Maximum Drawdown",0.3222,0.3647,0.6486,0.6989,0.216,0.3076,0.3742,0.6525,0.6822,0.2212
"Historical VaR (95%)",-0.0171,-0.02,-0.0304,-0.0329,-0.0134,-0.0175,-0.0212,-0.031,-0.0331,-0.0134
"Historical ES (95%)",-0.0243,-0.028,-0.0454,-0.0481,-0.0186,-0.0245,-0.0288,-0.0457,-0.048,-0.0187
"Modified VaR (95%)",-0.0175,-0.02,-0.0294,-0.0318,-0.0136,-0.0178,-0.0205,-0.0298,-0.0321,-0.0137
"Modified ES (95%)",-0.0262,-0.0289,-0.0367,-0.0412,-0.02,-0.0261,-0.0298,-0.0371,-0.0411,-0.0201
