"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0083,0.0085,0.0096,0.0097,0.0069,0.0073,0.0087,0.0078,0.0098,0.007
"Gain Deviation",0.0071,0.0072,0.0085,0.0084,0.0058,0.0059,0.0073,0.0066,0.0086,0.0059
"Loss Deviation",0.0079,0.0081,0.009,0.0092,0.0071,0.0071,0.0083,0.0076,0.0093,0.0071
"Downside Deviation (MAR=210%)",0.0129,0.013,0.0144,0.0146,0.0117,0.0119,0.0132,0.0126,0.0147,0.0117
"Downside Deviation (Rf=0%)",0.0079,0.008,0.0094,0.0095,0.0066,0.0069,0.0082,0.0075,0.0096,0.0066
"Downside Deviation (0%)",0.0079,0.008,0.0094,0.0095,0.0066,0.0069,0.0082,0.0075,0.0096,0.0066
"Maximum Drawdown",0.264,0.2708,0.4703,0.4636,0.1974,0.2127,0.2708,0.278,0.4603,0.186
"Historical VaR (95%)",-0.018,-0.0183,-0.0213,-0.0214,-0.0151,-0.0154,-0.0184,-0.0169,-0.0222,-0.0154
"Historical ES (95%)",-0.0258,-0.0266,-0.0298,-0.0302,-0.0223,-0.023,-0.027,-0.0246,-0.0307,-0.0225
"Modified VaR (95%)",-0.0185,-0.0189,-0.0216,-0.0221,-0.0155,-0.0163,-0.0192,-0.0175,-0.0223,-0.0156
"Modified ES (95%)",-0.0271,-0.0277,-0.0316,-0.0327,-0.0248,-0.0249,-0.0281,-0.0277,-0.0327,-0.0247
