"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0543,-0.0543,-0.0708,-0.0663,-0.0563,-0.0581,-0.0581,-0.0683,-0.0691,-0.0564
"Quartile 1",-0.0059,-0.0058,-0.0071,-0.0072,-0.0038,-0.006,-0.006,-0.0075,-0.0074,-0.0039
"Median",0.001,0.0012,8e-04,8e-04,9e-04,0.0011,0.0012,6e-04,8e-04,9e-04
"Arithmetic Mean",8e-04,9e-04,5e-04,4e-04,8e-04,8e-04,9e-04,5e-04,4e-04,8e-04
"Geometric Mean",7e-04,8e-04,4e-04,3e-04,7e-04,7e-04,8e-04,4e-04,3e-04,7e-04
"Quartile 3",0.0075,0.0078,0.0082,0.0083,0.006,0.0075,0.0078,0.0082,0.0084,0.0061
"Maximum",0.0457,0.0457,0.0587,0.0593,0.038,0.0503,0.0503,0.0608,0.0622,0.038
"SE Mean",3e-04,3e-04,3e-04,3e-04,2e-04,3e-04,3e-04,3e-04,3e-04,2e-04
"LCL Mean (0.95)",2e-04,3e-04,-1e-04,-2e-04,3e-04,2e-04,3e-04,-2e-04,-3e-04,3e-04
"UCL Mean (0.95)",0.0014,0.0015,0.0012,0.0011,0.0012,0.0014,0.0015,0.0012,0.0011,0.0013
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04
"Stdev",0.0111,0.0114,0.0133,0.0133,0.0093,0.0114,0.0117,0.0135,0.0136,0.0093
"Skewness",-0.2321,-0.2606,-0.0892,-0.1567,-0.4076,-0.2409,-0.2402,-0.0718,-0.1184,-0.4039
"Kurtosis",1.4452,1.3528,1.8058,1.7399,2.214,1.5138,1.3807,1.7461,1.6748,2.2242
