"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.007,0.0074,0.0098,0.0102,0.0058,0.0059,0.0064,0.0067,0.0086,0.0059
"Gain Deviation",0.0058,0.0062,0.0092,0.0098,0.0052,0.0051,0.0054,0.006,0.0079,0.0052
"Loss Deviation",0.0068,0.007,0.0087,0.0089,0.0057,0.0057,0.0061,0.006,0.0076,0.0059
"Downside Deviation (MAR=210%)",0.0118,0.0121,0.0144,0.0147,0.0108,0.0108,0.0112,0.0116,0.0133,0.0109
"Downside Deviation (Rf=0%)",0.0066,0.007,0.0093,0.0096,0.0055,0.0055,0.006,0.0063,0.0082,0.0056
"Downside Deviation (0%)",0.0066,0.007,0.0093,0.0096,0.0055,0.0055,0.006,0.0063,0.0082,0.0056
"Maximum Drawdown",0.1845,0.1658,0.293,0.278,0.1382,0.1105,0.1185,0.1873,0.2503,0.1494
"Historical VaR (95%)",-0.0157,-0.0163,-0.0215,-0.0217,-0.0131,-0.0133,-0.0135,-0.0144,-0.0187,-0.0133
"Historical ES (95%)",-0.0221,-0.0229,-0.0287,-0.0296,-0.0184,-0.0185,-0.0199,-0.02,-0.0254,-0.0188
"Modified VaR (95%)",-0.0155,-0.0163,-0.0216,-0.0222,-0.0129,-0.013,-0.0141,-0.0147,-0.0191,-0.0131
"Modified ES (95%)",-0.023,-0.0237,-0.0297,-0.0297,-0.0193,-0.0193,-0.0203,-0.0201,-0.0257,-0.02
