"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",0.742456927963346,0.0894133142450446,0.173436345651674,0.515539657556096,-0.298976359014382,1.57744515723795,-0.0181278210615194,-0.0268142321596715,0.322177874889859,-0.543348642251758
"top_10_alpha",1.08919519536919,0.120335375393642,0.197948858818579,0.607911437892807,-0.326343309159713,1.22026566627597,-0.0207999802897322,-0.0299873646717994,0.36466115205344,-0.229940870138322
"bot_10_ratio",-0.0093812111730921,-0.00145256943053917,0.320139744139286,-0.00453729803041009,0.344562654026495,4.86799521428492,-0.0289645057598737,-0.0364584248589129,0.647032133281769,-0.553666169759418
"bot_10_alpha",0.0711992466221909,0.0106637150654465,0.340990269611687,0.0312727840521377,0.323488501088088,3.9975887740294,-0.031300190510804,-0.0408007100831838,0.698943199096293,-0.473255678936851
"bm_ex_ratio",1.27556921306159,0.135197471742009,0.134686346991016,1.00379492622981,-0.270770454127638,1.44364481428921,-0.0138061013606085,-0.0202558104202471,0.216641617150217,-0.207541787449839
"top_10_ratio_pct",1.12435891309955,0.12322300786409,0.140171350808228,0.879088395407378,-0.181257927799973,1.26258476543229,-0.0142437905488311,-0.0203579589810346,0.203901494458839,-0.330671673365809
"top_10_alpha_pct",0.93540304761781,0.107201541488981,0.203050723969286,0.527954490352847,-0.302083659140701,1.25998910205959,-0.021297689345145,-0.0307279711524789,0.374249262924228,-0.317142837576938
"bot_10_ratio_pct",0.694984879927791,0.0847822940803757,0.192228838562424,0.441048776626946,0.150581395965821,3.39912400939566,-0.0181619979302552,-0.0258667649021258,0.417113366722122,-0.482350174066127
"bot_10_alpha_pct",0.100269566266169,0.0148459106650118,0.34572535954603,0.0429413413135384,0.357674294274796,3.73881966920634,-0.0316085430131077,-0.0406377265013027,0.682216841483223,-0.451299244757839
"bm_ex_ratio_pct",1.4245706547824,0.146355845041748,0.137606869720739,1.06357949525895,-0.336784714429558,1.40856151007574,-0.0142389583257729,-0.020971281421452,0.181265903292859,-0.053082206810098
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.0700721432859528,0.0104996402349031,0.284054660964317,0.0369634499193171,-0.648097776466915,6.35844272000559,-0.0300797054167634,-0.0607774246155793,0.665054973195503,-0.429244388904421
"long_short_ratio_pct",0.132386098623,0.0193590562608126,0.1185488466047,0.163300249772697,-0.546286045494112,12.2936804315774,-0.0114410328717534,-0.0224006859545358,0.346935802064121,-0.699112092694427
"long_short_alpha",0.155508708787134,0.0225417758322288,0.290379471563566,0.0776286826022902,-0.599409661314673,4.06221344967266,-0.0313150067401631,-0.0563343114920808,0.693205671923396,-0.390817951605666
"long_short_alpha_pct",0.0259377668643623,0.00395700442468572,0.2965996317008,0.0133412317540482,-0.61209017958898,3.79505052044945,-0.0322193712268556,-0.0570317847439303,0.716291892146485,-0.440864620465853
