"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",2.47784861669506,0.211943655635703,0.180266085998796,1.17572672897063,-0.294362248297418,1.42111279549028,-0.0184509533114748,-0.0271365934603708,0.263955249133209,0.551699599630058
"top_10_alpha",2.98218180711166,0.237520305405634,0.184616766023124,1.2865586941106,-0.312317999435412,1.3170632247656,-0.0189115109553755,-0.0276500259514061,0.270760991067457,0.743232768880254
"bot_10_ratio",0.723672831397931,0.0875937894407197,0.212042809676617,0.41309483483221,-0.142975899428128,1.76039629371808,-0.0216049715482956,-0.0316127363523262,0.470298704037642,-0.438210590588613
"bot_10_alpha",0.490360209334337,0.0634705198705625,0.212868886503983,0.298167200068362,-0.220372427247686,1.74937787399526,-0.0220698779377106,-0.032652195455236,0.463583346263042,-0.601896958416506
"bm_ex_ratio",2.11942300415493,0.191783863073183,0.148915006157599,1.28787466100102,-0.478395774665161,2.30531073861382,-0.0154833795167152,-0.0248330247268529,0.197358024653164,0.853673862372129
"top_10_ratio_pct",2.4696223024573,0.211501107648588,0.156226345175819,1.35381204374052,-0.461464297356718,1.74150188333672,-0.0162778685274335,-0.0249158470236805,0.212717068771605,0.872688194681361
"top_10_alpha_pct",3.02255811230051,0.23944717239736,0.188182593642472,1.2724193442263,-0.29503907945075,1.3399070101209,-0.019224282846346,-0.028115611261959,0.270760991067457,0.730012070313757
"bot_10_ratio_pct",1.31851497110082,0.138475480864566,0.168404507691417,0.822278944684235,-0.376376145242493,2.31817210198087,-0.0174831965719393,-0.027654279907387,0.277991150144496,-0.144282182491891
"bot_10_alpha_pct",0.45880828092904,0.0599667914831865,0.216260286516365,0.277289891959191,-0.180957527842617,1.68742301803266,-0.0223055412589012,-0.032650829595065,0.460334392262692,-0.606807801175735
"bm_ex_ratio_pct",2.23330704504964,0.198392720246521,0.150408581991797,1.31902526850057,-0.448997513879925,2.18603426221611,-0.0155717567173148,-0.0247020682514471,0.186005869175948,0.938347665904849
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.740585379644507,0.0892327725522954,0.182104863047932,0.49000763109115,-0.236268175932918,1.70725235908992,-0.0188211671937473,-0.0278860331018334,0.358824389119356,-0.264718475084563
"long_short_ratio_pct",0.444072563759478,0.0583084399903619,0.0842669321483104,0.691949243954185,-0.351081459626785,3.25413932879936,-0.00865853744458101,-0.0144438395844545,0.135223363924472,-0.584309186710388
"long_short_alpha",1.30810176055476,0.137685396832854,0.184322821366445,0.746979651310389,-0.202832019078352,1.61505201001659,-0.0187954415214914,-0.0276115518090032,0.298841469531705,-0.0542424137684005
"long_short_alpha_pct",1.3620806328236,0.14174874824728,0.190884589914083,0.742588745959434,-0.207342574932853,1.49795321231929,-0.0195095282500869,-0.0284391276356768,0.312804537767422,-0.0359102133302868
