"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0078,0.0081,0.0112,0.0116,0.006,0.006,0.0069,0.007,0.0091,0.006
"Gain Deviation",0.0064,0.0067,0.0105,0.0112,0.0052,0.0052,0.0058,0.0061,0.0082,0.0051
"Loss Deviation",0.0078,0.0079,0.0106,0.0108,0.006,0.006,0.007,0.0066,0.0084,0.006
"Downside Deviation (MAR=210%)",0.0125,0.0127,0.016,0.0163,0.011,0.011,0.0117,0.012,0.014,0.011
"Downside Deviation (Rf=0%)",0.0075,0.0077,0.011,0.0113,0.0057,0.0057,0.0066,0.0067,0.0088,0.0057
"Downside Deviation (0%)",0.0075,0.0077,0.011,0.0113,0.0057,0.0057,0.0066,0.0067,0.0088,0.0057
"Maximum Drawdown",0.3274,0.3596,0.4706,0.4969,0.1459,0.136,0.2499,0.247,0.3665,0.1362
"Historical VaR (95%)",-0.017,-0.0174,-0.0255,-0.0264,-0.0136,-0.0135,-0.0155,-0.0157,-0.02,-0.0135
"Historical ES (95%)",-0.0249,-0.0255,-0.0347,-0.036,-0.0192,-0.0193,-0.0223,-0.0221,-0.0279,-0.0192
"Modified VaR (95%)",-0.0176,-0.0182,-0.0251,-0.0257,-0.0133,-0.0134,-0.0155,-0.0158,-0.0206,-0.0133
"Modified ES (95%)",-0.0282,-0.0286,-0.0365,-0.0363,-0.0206,-0.0208,-0.0238,-0.0228,-0.0286,-0.0207
