"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.009,0.0092,0.0127,0.0126,0.0068,0.0078,0.0081,0.01,0.0102,0.0068
"Gain Deviation",0.0073,0.0078,0.0116,0.0117,0.0058,0.0063,0.0065,0.0089,0.009,0.0057
"Loss Deviation",0.0086,0.0086,0.0115,0.0114,0.0065,0.0075,0.0077,0.009,0.0091,0.0065
"Downside Deviation (MAR=210%)",0.0135,0.0137,0.0174,0.0173,0.0116,0.0124,0.0126,0.0147,0.015,0.0116
"Downside Deviation (Rf=0%)",0.0086,0.0087,0.0124,0.0123,0.0064,0.0074,0.0076,0.0097,0.0099,0.0064
"Downside Deviation (0%)",0.0086,0.0087,0.0124,0.0123,0.0064,0.0074,0.0076,0.0097,0.0099,0.0064
"Maximum Drawdown",0.3303,0.2791,0.6699,0.6404,0.1907,0.2654,0.2753,0.5122,0.5001,0.1903
"Historical VaR (95%)",-0.0194,-0.0197,-0.028,-0.0266,-0.0148,-0.0164,-0.0172,-0.021,-0.0215,-0.0148
"Historical ES (95%)",-0.0279,-0.028,-0.0398,-0.0389,-0.0208,-0.0239,-0.0246,-0.0308,-0.0311,-0.0207
"Modified VaR (95%)",-0.0203,-0.0203,-0.0284,-0.0282,-0.0152,-0.0174,-0.018,-0.0224,-0.0229,-0.0151
"Modified ES (95%)",-0.0299,-0.03,-0.0394,-0.0386,-0.0222,-0.0258,-0.0268,-0.0316,-0.0315,-0.022
