"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0093,0.0092,0.0174,0.0156,0.0065,0.0065,0.0074,0.0077,0.011,0.0064
"Gain Deviation",0.0073,0.0073,0.0195,0.0158,0.0055,0.0054,0.006,0.0066,0.0104,0.0054
"Loss Deviation",0.0091,0.0088,0.016,0.0139,0.0062,0.0062,0.0071,0.0071,0.0101,0.0061
"Downside Deviation (MAR=210%)",0.0139,0.0137,0.0222,0.0205,0.0114,0.0114,0.0122,0.0126,0.0159,0.0113
"Downside Deviation (Rf=0%)",0.009,0.0088,0.0173,0.0155,0.0061,0.0061,0.0071,0.0074,0.0108,0.006
"Downside Deviation (0%)",0.009,0.0088,0.0173,0.0155,0.0061,0.0061,0.0071,0.0074,0.0108,0.006
"Maximum Drawdown",0.2461,0.2016,0.7757,0.7422,0.1899,0.1956,0.1981,0.3346,0.5867,0.1701
"Historical VaR (95%)",-0.0213,-0.0206,-0.0396,-0.0359,-0.0141,-0.014,-0.0167,-0.0167,-0.0238,-0.0137
"Historical ES (95%)",-0.0301,-0.0288,-0.0541,-0.0476,-0.02,-0.0202,-0.0231,-0.0238,-0.034,-0.0197
"Modified VaR (95%)",-0.0213,-0.0208,-0.0366,-0.0346,-0.0144,-0.0144,-0.0166,-0.0175,-0.0248,-0.0142
"Modified ES (95%)",-0.0308,-0.0298,-0.0441,-0.0451,-0.0208,-0.0207,-0.0237,-0.0242,-0.0341,-0.0207
