"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0553,-0.0534,-0.1151,-0.0873,-0.0408,-0.0412,-0.0411,-0.0638,-0.0699,-0.0404
"Quartile 1",-0.0059,-0.0061,-0.0141,-0.0132,-0.0042,-0.0048,-0.005,-0.0089,-0.0091,-0.004
"Median",0.0013,0.0014,-5e-04,-1e-04,8e-04,0.001,0.0012,2e-04,1e-04,8e-04
"Arithmetic Mean",6e-04,8e-04,3e-04,2e-04,7e-04,7e-04,7e-04,4e-04,4e-04,7e-04
"Geometric Mean",5e-04,8e-04,-1e-04,-1e-04,6e-04,7e-04,6e-04,3e-04,3e-04,7e-04
"Quartile 3",0.0081,0.0087,0.0134,0.013,0.006,0.0065,0.0069,0.0096,0.0098,0.006
"Maximum",0.0428,0.0416,0.1608,0.1242,0.0345,0.0339,0.0337,0.0644,0.0705,0.0328
"SE Mean",3e-04,3e-04,7e-04,6e-04,2e-04,2e-04,3e-04,4e-04,4e-04,2e-04
"LCL Mean (0.95)",0,2e-04,-0.001,-0.001,2e-04,2e-04,2e-04,-3e-04,-4e-04,2e-04
"UCL Mean (0.95)",0.0012,0.0015,0.0016,0.0013,0.0011,0.0012,0.0012,0.0012,0.0012,0.0011
"Variance",2e-04,2e-04,7e-04,5e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04
"Stdev",0.0125,0.0125,0.0259,0.0227,0.0089,0.0096,0.0101,0.0155,0.0157,0.0087
"Skewness",-0.471,-0.4059,0.5157,0.2779,-0.2699,-0.3395,-0.3567,0.0634,0.0386,-0.2844
"Kurtosis",1.2079,1.0677,3.2963,1.6385,1.1951,1.0966,1.0057,1.3216,1.3934,1.2257
