"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.63686113609661,0.161291485811009,0.167846917760237,0.960943983740044,-0.477652320783389,2.31494240254606,-0.0176327867904378,-0.0281883814324851,0.327400429514432,0.11286328521978
"top_10_alpha",1.69816100922364,0.16541466333684,0.173660988430073,0.952514809642729,-0.433385327988249,2.16445412010654,-0.0181519471946001,-0.0285888769182741,0.359555943080407,0.146813238978296
"bot_10_ratio",0.682044354217829,0.0835008971875886,0.25171599356269,0.331726625733031,-0.030903164503324,2.08714089427328,-0.025101127908701,-0.0364666267168514,0.470638028261885,-0.347340617660138
"bot_10_alpha",0.88221181639808,0.102453130920951,0.262634787776946,0.39009733549831,0.0662717116590051,2.00891618147374,-0.0256975634922054,-0.0362564426904565,0.496918628119022,-0.234776400142824
"bm_ex_ratio",1.57002959507223,0.156702812422166,0.12983670060193,1.20692232393216,-0.365211187247718,1.96535528249662,-0.0133417773061141,-0.0206314097296836,0.145883960487181,0.209711232028223
"top_10_ratio_pct",1.68487876121186,0.164528041165498,0.130575411833105,1.26002314567302,-0.381269124214039,1.95984022604454,-0.013430606596585,-0.0208043519067683,0.135982881976653,0.363049670808232
"top_10_alpha_pct",1.77009485158564,0.170153261481023,0.148862880531228,1.14302007910783,-0.432302396587756,1.80515752771106,-0.0155296583849177,-0.0238127715741919,0.249855593611932,0.297410603801476
"bot_10_ratio_pct",1.38156370306269,0.143196092596416,0.154179344836891,0.92876314105437,-0.233516687783745,1.29023490686487,-0.0157739127463734,-0.022753199642724,0.246996688567692,-0.103639643503362
"bot_10_alpha_pct",1.13702584112208,0.124253311937338,0.203473897254986,0.610659714162886,-0.086718921207923,1.12734498272975,-0.0205522381483611,-0.0286060240792597,0.366502533169773,-0.196967302130438
"bm_ex_ratio_pct",1.53648452065331,0.154361438215811,0.129069456729648,1.19595636432514,-0.386857373628753,1.99482886342636,-0.0133104533560528,-0.0206691209922343,0.136241936711908,0.126575641035977
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.18408855721457,0.026402052633637,0.226640910671629,0.116492880986919,-0.300387582106015,3.05719500845903,-0.0235847896660725,-0.0382556222288888,0.538251621668265,-0.453325675663151
"long_short_ratio_pct",0.0840276310020125,0.0125209549045489,0.0733915448652367,0.170604869096844,-0.627678922644398,4.77474346988171,-0.00788721841605796,-0.014811114357561,0.198999235295867,-0.880626672562097
"long_short_alpha",0.0629100578731525,0.00945361137946565,0.231185670431754,0.0408918570160964,-0.396963109614016,3.5365879826211,-0.0243640766452759,-0.0412720545624588,0.526920433680512,-0.507623042624452
"long_short_alpha_pct",0.130226609277873,0.0190590137980657,0.151889711755607,0.1254792940073,-0.371355247962659,2.24197678913772,-0.0161647686844627,-0.0251897016021441,0.38395521276924,-0.619748933237739
