"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",2.26904895238409,0.200426281322005,0.199057700630646,1.00687529639407,-0.390507734787993,1.21665150871751,-0.0208631207378025,-0.0302900455664509,0.330302580151409,0.369509140169628
"top_10_alpha",2.57645603189757,0.217180639133175,0.203583466796716,1.06678917767933,-0.353955538515523,1.71273206290992,-0.0210420882478425,-0.0318189269740151,0.279141884929789,0.478385962585786
"bot_10_ratio",0.876074659239062,0.101897985195013,0.281900431302244,0.361468000330094,-0.0138800511959837,1.33152719278582,-0.0282506675380261,-0.0392366282911203,0.665661604928647,-0.213792807847684
"bot_10_alpha",1.21045671396101,0.130126267232496,0.281077604459704,0.462954946135351,0.0088222739139432,1.2235633556462,-0.0279915576329326,-0.0384826701860642,0.64036898949284,-0.0888735751187253
"bm_ex_ratio",2.25207884728324,0.199463112330106,0.148488124982234,1.34329336001765,-0.37808612552704,1.34933384055938,-0.015340509486524,-0.0226032645545867,0.190720673424711,0.717268105152661
"top_10_ratio_pct",3.01431952145533,0.239055337078879,0.14991269061341,1.59463042188568,-0.444835903493228,1.34039954814762,-0.0155362915069874,-0.0229837983549341,0.195209040993277,1.23556828630128
"top_10_alpha_pct",3.03575369760237,0.240073355243287,0.175835178657965,1.36533176737221,-0.437269370432796,1.35190031390279,-0.018332582364134,-0.0270808051055893,0.27526867400592,0.862270162782057
"bot_10_ratio_pct",1.62523817715076,0.160500570173203,0.169426704980379,0.947315656004703,-0.251622922773124,1.08382109792751,-0.0174191929404438,-0.0247605483301718,0.285951687291654,0.106987983040231
"bot_10_alpha_pct",1.57014113646438,0.156710554548353,0.225589316911633,0.694671878499189,-0.0820242576668392,0.958288747977866,-0.022743398677275,-0.0312793772163034,0.500061876634774,0.0397910156834206
"bm_ex_ratio_pct",2.17166318700738,0.194840341448284,0.150034517064893,1.29863677545622,-0.363123521073365,1.28260964563317,-0.0154971687816088,-0.0226715610710544,0.198621697977504,0.626778400019932
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.239622224519759,0.0336829245682695,0.255543835037075,0.131808793443922,-0.157519239213348,1.65244214386592,-0.0263855388110537,-0.0383262772758522,0.528232713485244,-0.393217990106671
"long_short_ratio_pct",0.47283927286653,0.0615327176408529,0.0737108333227658,0.834785266521309,0.0224868836944228,1.32272797438902,-0.0072339032639333,-0.0100054789707928,0.17350933590997,-0.583908826051463
"long_short_alpha",0.166376518039589,0.0240191058159434,0.252077766306309,0.0952845075069288,-0.14297597101096,1.48109229905905,-0.026055481640835,-0.0373102046727503,0.54766643950914,-0.433345002018287
"long_short_alpha_pct",0.33482309908005,0.0455461135982691,0.174028810649998,0.261715939034199,-0.100243045569916,1.23340106822618,-0.0178272282652638,-0.024959402852803,0.392229708953484,-0.467442920583229
