"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.36685325118247,0.142104224210627,0.204009033470635,0.696558489558657,-0.535014486981151,1.46482209831283,-0.0220268464127059,-0.032669771438549,0.240046877885981,-0.0597551974351103
"top_10_alpha",2.47530604962622,0.211806968712033,0.201727858774175,1.04996389690102,-0.446241986182039,1.19129952005804,-0.0213107600221472,-0.0309173288978375,0.201641115148324,0.456886844544071
"bot_10_ratio",0.0565010933190364,0.00851251022463417,0.40720376928686,0.0209047923096149,0.536648021019329,3.34010843874458,-0.0360409557352845,-0.0429942156606588,0.775733904554777,-0.391466519786523
"bot_10_alpha",0.0820115325353048,0.0122303079851656,0.358430741197569,0.0341218165169157,0.34247700700335,1.91078571871706,-0.0337083666389989,-0.0434354535670567,0.74224324598007,-0.441590810857975
"bm_ex_ratio",1.79263188688928,0.171616462698499,0.142968841150699,1.20037667870305,-0.327665939272528,1.23342787102983,-0.0147363620031947,-0.0213986847389606,0.190081078208311,0.397384111396448
"top_10_ratio_pct",1.72564505315173,0.167237629495546,0.143474351849827,1.16562735666227,-0.367692033172631,1.29522927367287,-0.0148922116800885,-0.021786511355763,0.205643088838797,0.311221691765803
"top_10_alpha_pct",1.87847178526604,0.177099649037648,0.16254989459515,1.08950946710076,-0.424878650943186,1.12998552174788,-0.017106030557511,-0.0246760832476588,0.198120302281272,0.331009018865623
"bot_10_ratio_pct",1.42184209104455,0.146156789635999,0.170831250238504,0.855562371825669,-0.214886028334853,0.855208290022219,-0.0175581655449715,-0.0243773921610822,0.333981805344773,-0.0441274720134666
"bot_10_alpha_pct",0.834782122884564,0.0981223497926591,0.24756148955043,0.396355466962365,0.0334228726383271,1.35511863194313,-0.0245757125845707,-0.0338440078948331,0.586670344464738,-0.281696231926397
"bm_ex_ratio_pct",1.92207515792619,0.179832114117199,0.140483490417577,1.28009429138371,-0.348729955952601,1.3171279102992,-0.0144778623367772,-0.0212231355152883,0.170729804953912,0.560665257550443
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",-0.0864133809115996,-0.0138415172560192,0.389977867882766,-0.0354930840849159,-0.731062461532746,3.6666868075042,-0.0431849665425194,-0.0762413166544892,0.778095053824953,-0.387627209430921
"long_short_ratio_pct",0.0751199562231386,0.0112333260580026,0.0744065046011454,0.150972366169042,-0.363277990667138,2.08887451962351,-0.00792675550246838,-0.0122047750672988,0.192000525540885,-0.89821793751782
"long_short_alpha",0.699911847506034,0.0852679981272948,0.329402043356428,0.258856919217805,-0.566139713009266,2.28441948645923,-0.0358362864075683,-0.0569182211238637,0.656949182112826,-0.178725734492322
"long_short_alpha_pct",0.243032057704945,0.0341209254462269,0.192307163705655,0.177429300025725,-0.482511891551431,2.41825256929255,-0.0207302976165888,-0.0330871356876841,0.441695883881558,-0.475591917612303
