"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0072,0.008,0.0154,0.0159,0.0061,0.006,0.0082,0.0078,0.0163,0.0071
"Gain Deviation",0.0062,0.0068,0.0168,0.0172,0.0053,0.0052,0.007,0.0076,0.0176,0.0062
"Loss Deviation",0.0068,0.0077,0.0148,0.0151,0.0057,0.0057,0.0078,0.0073,0.0155,0.0068
"Downside Deviation (MAR=210%)",0.0121,0.0129,0.0201,0.0207,0.0111,0.0111,0.013,0.0128,0.0211,0.0119
"Downside Deviation (Rf=0%)",0.0069,0.0078,0.0153,0.0158,0.0058,0.0057,0.008,0.0076,0.0162,0.0068
"Downside Deviation (0%)",0.0069,0.0078,0.0153,0.0158,0.0058,0.0057,0.008,0.0076,0.0162,0.0068
"Maximum Drawdown",0.2468,0.3083,0.7013,0.7434,0.2172,0.1774,0.3178,0.4152,0.7518,0.1845
"Historical VaR (95%)",-0.0152,-0.0174,-0.0343,-0.0353,-0.0131,-0.0133,-0.0179,-0.0168,-0.0359,-0.0152
"Historical ES (95%)",-0.022,-0.0253,-0.0493,-0.0508,-0.0186,-0.0185,-0.0258,-0.0243,-0.0522,-0.0223
"Modified VaR (95%)",-0.0161,-0.0182,-0.0325,-0.0342,-0.0135,-0.0134,-0.0185,-0.0172,-0.035,-0.0158
"Modified ES (95%)",-0.0245,-0.0267,-0.041,-0.0446,-0.02,-0.0194,-0.0273,-0.0241,-0.0457,-0.0236
