"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0541,-0.0541,-0.13,-0.128,-0.0446,-0.0374,-0.0541,-0.0497,-0.128,-0.0479
"Quartile 1",-0.0053,-0.0057,-0.012,-0.0126,-0.0043,-0.0042,-0.0059,-0.006,-0.013,-0.0049
"Median",9e-04,9e-04,-2e-04,-1e-04,9e-04,8e-04,0.0011,5e-04,0,8e-04
"Arithmetic Mean",4e-04,4e-04,3e-04,2e-04,5e-04,5e-04,4e-04,4e-04,2e-04,6e-04
"Geometric Mean",3e-04,3e-04,0,0,5e-04,5e-04,3e-04,3e-04,-1e-04,6e-04
"Quartile 3",0.006,0.0071,0.0115,0.0118,0.0055,0.0054,0.0072,0.0066,0.0121,0.0064
"Maximum",0.0383,0.0396,0.1226,0.1193,0.0323,0.0331,0.0422,0.0495,0.1288,0.0454
"SE Mean",2e-04,3e-04,6e-04,6e-04,2e-04,2e-04,3e-04,3e-04,6e-04,2e-04
"LCL Mean (0.95)",-1e-04,-1e-04,-8e-04,-9e-04,1e-04,1e-04,-1e-04,-1e-04,-9e-04,2e-04
"UCL Mean (0.95)",9e-04,0.001,0.0014,0.0013,9e-04,9e-04,0.001,9e-04,0.0013,0.0011
"Variance",1e-04,1e-04,5e-04,5e-04,1e-04,1e-04,1e-04,1e-04,6e-04,1e-04
"Stdev",0.01,0.0112,0.0224,0.0231,0.0084,0.0083,0.0114,0.0112,0.0236,0.0098
"Skewness",-0.2861,-0.3075,0.3409,0.3072,-0.2632,-0.2682,-0.3087,0.0497,0.3037,-0.2627
"Kurtosis",1.9723,1.44,3.9219,3.1732,1.5199,1.233,1.4522,1.7952,3.3456,1.6437
