"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0078,0.008,0.0096,0.0097,0.0068,0.008,0.0082,0.0098,0.0098,0.0068
"Gain Deviation",0.0066,0.0068,0.0087,0.0087,0.0059,0.0068,0.007,0.0089,0.0088,0.0059
"Loss Deviation",0.0074,0.0077,0.009,0.0091,0.0068,0.0075,0.0078,0.0092,0.0093,0.0068
"Downside Deviation (MAR=210%)",0.0125,0.0127,0.0144,0.0145,0.0116,0.0126,0.0128,0.0146,0.0146,0.0115
"Downside Deviation (Rf=0%)",0.0074,0.0076,0.0094,0.0094,0.0064,0.0076,0.0077,0.0096,0.0096,0.0064
"Downside Deviation (0%)",0.0074,0.0076,0.0094,0.0094,0.0064,0.0076,0.0077,0.0096,0.0096,0.0064
"Maximum Drawdown",0.2685,0.2768,0.4473,0.446,0.1926,0.2682,0.2672,0.4537,0.4615,0.1925
"Historical VaR (95%)",-0.0167,-0.0172,-0.022,-0.0218,-0.0151,-0.0167,-0.0176,-0.0221,-0.022,-0.0151
"Historical ES (95%)",-0.024,-0.0248,-0.0298,-0.0301,-0.0217,-0.0246,-0.0252,-0.0304,-0.0306,-0.0217
"Modified VaR (95%)",-0.0173,-0.0178,-0.0216,-0.0218,-0.0151,-0.0176,-0.0181,-0.022,-0.0221,-0.0151
"Modified ES (95%)",-0.0253,-0.0262,-0.0313,-0.0318,-0.0239,-0.0259,-0.0268,-0.032,-0.0325,-0.0239
