"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0484,-0.0518,-0.0708,-0.0663,-0.0557,-0.0497,-0.0581,-0.0618,-0.0691,-0.0552
"Quartile 1",-0.0057,-0.0056,-0.0073,-0.007,-0.0039,-0.0043,-0.0057,-0.005,-0.0072,-0.004
"Median",0.0011,0.0011,7e-04,9e-04,0.001,9e-04,0.0012,8e-04,8e-04,9e-04
"Arithmetic Mean",7e-04,8e-04,5e-04,5e-04,8e-04,7e-04,8e-04,7e-04,5e-04,8e-04
"Geometric Mean",7e-04,7e-04,4e-04,4e-04,7e-04,7e-04,8e-04,7e-04,4e-04,8e-04
"Quartile 3",0.0072,0.0074,0.0084,0.0086,0.006,0.0063,0.0077,0.007,0.0087,0.0062
"Maximum",0.0446,0.0461,0.0587,0.0581,0.038,0.0332,0.0503,0.0412,0.0611,0.0398
"SE Mean",3e-04,3e-04,3e-04,3e-04,2e-04,2e-04,3e-04,3e-04,4e-04,2e-04
"LCL Mean (0.95)",2e-04,2e-04,-2e-04,-2e-04,3e-04,3e-04,3e-04,2e-04,-2e-04,3e-04
"UCL Mean (0.95)",0.0013,0.0013,0.0012,0.0012,0.0013,0.0012,0.0014,0.0012,0.0012,0.0013
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0107,0.0109,0.0135,0.0135,0.0093,0.0093,0.0112,0.0105,0.0137,0.0095
"Skewness",-0.2742,-0.2946,-0.0998,-0.1345,-0.4016,-0.3651,-0.2578,-0.2901,-0.1465,-0.3688
"Kurtosis",1.3847,1.4416,1.7096,1.6985,2.178,1.5628,1.5734,1.9103,1.8144,2.0747
