"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0411,-0.0415,-0.0657,-0.0626,-0.0415,-0.0408,-0.0412,-0.0416,-0.0568,-0.0425
"Quartile 1",-0.0046,-0.0047,-0.0083,-0.0086,-0.0036,-0.0038,-0.004,-0.0048,-0.0069,-0.0037
"Median",9e-04,0.001,6e-04,6e-04,8e-04,9e-04,0.001,9e-04,8e-04,9e-04
"Arithmetic Mean",6e-04,6e-04,7e-04,7e-04,6e-04,6e-04,7e-04,7e-04,7e-04,6e-04
"Geometric Mean",5e-04,6e-04,6e-04,6e-04,6e-04,6e-04,7e-04,6e-04,7e-04,6e-04
"Quartile 3",0.0061,0.0064,0.0096,0.0102,0.0052,0.0054,0.0061,0.0064,0.0085,0.0053
"Maximum",0.0354,0.039,0.0622,0.0559,0.0347,0.03,0.0304,0.0354,0.0481,0.0349
"SE Mean",2e-04,2e-04,4e-04,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04
"LCL Mean (0.95)",1e-04,1e-04,0,0,2e-04,2e-04,3e-04,2e-04,1e-04,2e-04
"UCL Mean (0.95)",0.001,0.0011,0.0014,0.0014,0.001,0.001,0.0011,0.0011,0.0013,0.001
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0095,0.0099,0.0143,0.0147,0.0082,0.0082,0.0088,0.0094,0.0125,0.0083
"Skewness",-0.3749,-0.3512,0.0124,0.0229,-0.3474,-0.4215,-0.4521,-0.2046,-0.0465,-0.3468
"Kurtosis",1.6457,1.5962,0.9974,0.8055,1.8437,1.8062,1.521,0.9665,0.6886,1.9171
