"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",0.673575706886494,0.0826577936267789,0.159487341018794,0.518271814545073,-0.286090599365796,1.97231832944455,-0.0165562354945725,-0.0251720365664746,0.249981500189365,-0.629492152437285
"top_10_alpha",0.754805210434588,0.0906004157310418,0.178349733396965,0.507992997833006,-0.30748278082783,1.44002468787717,-0.0187021501230945,-0.0273867714367092,0.30826751601883,-0.523882394014611
"bot_10_ratio",0.0308383222116557,0.0046950994845596,0.355485885953115,0.0132075552647365,0.340922251064433,3.92185178075352,-0.0325643771186501,-0.0421012689371778,0.699667469344245,-0.472044677026554
"bot_10_alpha",-0.070635040478313,-0.0112338223555513,0.366223652427806,-0.0306747592108781,0.307200787508773,3.17319572498672,-0.0341831219634821,-0.0451624227837643,0.743358505701193,-0.505934016024373
"bm_ex_ratio",1.26363708173887,0.134277418519282,0.133449732946902,1.00620222726642,-0.2632309655457,1.51988349481056,-0.0136479633663405,-0.0201262213920812,0.216797649418454,-0.226538690826455
"top_10_ratio_pct",1.14018882005072,0.124509776593013,0.131189011589648,0.949086932543353,-0.268172146420539,1.2329750439957,-0.0135022421221703,-0.0194608004973331,0.177436172237971,-0.311894168688749
"top_10_alpha_pct",0.749737857804298,0.0901141235026997,0.181688592110336,0.495981186578711,-0.308690097954166,1.45215727344642,-0.0190602406180359,-0.0279381223044636,0.317764460861276,-0.512981011257971
"bot_10_ratio_pct",0.742917998244215,0.0894577668947434,0.178073753559671,0.502363571871173,0.0496902994183824,1.79518680578526,-0.0174775578269678,-0.024550739212843,0.411241035154378,-0.504911123006026
"bot_10_alpha_pct",-0.118615366312431,-0.0192839839462705,0.375042170212142,-0.0514181750157923,0.303714717908397,3.34558055410396,-0.0349732234634263,-0.0462673411980158,0.751779878660113,-0.516090932385744
"bm_ex_ratio_pct",1.61433271994906,0.159755781218358,0.155215042422292,1.02925450217455,-0.262666823148276,1.64373440425043,-0.0158346212287292,-0.0235757469045381,0.179877772415194,0.109689220608086
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",-0.180809635243202,-0.0302897867548521,0.331276338873537,-0.0914335954624729,-0.524901703638095,5.12536802872421,-0.0350644937906512,-0.0656401630649123,0.715021268962886,-0.478147981723315
"long_short_ratio_pct",0.129216192981739,0.0189184586081794,0.106838016511608,0.177076093565664,-0.204013639105695,6.22503922597586,-0.0105094072623998,-0.0181553983604615,0.266896809171482,-0.715782437221954
"long_short_alpha",-0.0378461707976765,-0.0059323920513743,0.324854134867795,-0.0182617101481211,-0.463938573685322,4.11986781357367,-0.0343768828095137,-0.0607618933737599,0.679257704944509,-0.426070368316141
"long_short_alpha_pct",-0.0260818835474612,-0.00406751187593346,0.334466660268149,-0.0121611878226441,-0.455283444215238,3.96485049720513,-0.0353967428234484,-0.0619831016927384,0.685360064399359,-0.41127744669632
