"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",2.23879553796734,0.198706223654811,0.17332792048014,1.14641785988299,-0.338821127909985,1.43736969550034,-0.0178860130942003,-0.0264336869266338,0.270319441574098,0.458268648560966
"top_10_alpha",2.30360176889928,0.202374389362276,0.178113845774672,1.13620807232637,-0.350290099887032,1.41951074312634,-0.018424856197639,-0.0272088048277411,0.276803455302021,0.472247164532223
"bot_10_ratio",0.66758556223804,0.0820592580741641,0.214483243592051,0.382590531082426,-0.134948400259475,1.6160074623422,-0.021885781062135,-0.0316715522627228,0.449140829781793,-0.471941462979118
"bot_10_alpha",0.670952046669349,0.0823958607426341,0.214848342677298,0.38350708092914,-0.172291682470331,1.63486116487397,-0.0220577058944508,-0.0321669122072204,0.445959380263158,-0.468544640641975
"bm_ex_ratio",2.16902009644861,0.194686725449102,0.149290903751579,1.30407627361586,-0.470500425715229,2.25943106033899,-0.015503379293849,-0.0247678002890971,0.191889946675911,0.905078042738084
"top_10_ratio_pct",1.96413030876175,0.182435080137463,0.150778738685061,1.20995228988169,-0.409832060848576,1.57057973235803,-0.0156832001828895,-0.023563614874541,0.210651449390566,0.510825027433056
"top_10_alpha_pct",2.57516894755008,0.217113073827369,0.182001561348694,1.19291874321564,-0.315768138211987,1.51579346422765,-0.0186634197488089,-0.0277208239048065,0.267150866442006,0.580042821008062
"bot_10_ratio_pct",1.5229056245595,0.153406208373656,0.167777742354414,0.91434183236058,-0.341830320348482,1.88802869777818,-0.0173575939565535,-0.0265304944147866,0.27098448330667,0.0401243592217021
"bot_10_alpha_pct",0.640196332971702,0.0792991384089101,0.217413639454966,0.364738562896537,-0.180625928982233,1.74421143697487,-0.022336547194156,-0.0328513210516056,0.461547210648153,-0.478434111645462
"bm_ex_ratio_pct",2.34062045263256,0.204442495141909,0.151777992185934,1.3469837899256,-0.447537482134993,2.21868526660065,-0.0156896324687606,-0.0249583352300347,0.186458833600427,1.00642649248866
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",0.657089910719329,0.0810061336406622,0.181813490235867,0.445545231740355,-0.28033974961686,1.64676776069345,-0.0189732031878482,-0.0281337041699435,0.361873967574827,-0.295903915949184
"long_short_ratio_pct",0.131746215341107,0.0192702004748009,0.078392113687073,0.245818100424285,-0.235208980568625,4.54361641036588,-0.00790452775508104,-0.0134234417029563,0.159786370367982,-0.832177103097891
"long_short_alpha",0.69575004563949,0.0848578029301861,0.181550794260063,0.467405297101764,-0.242118651799889,1.44757244224908,-0.018857372030633,-0.0274277501677582,0.331721582325587,-0.281282880687464
"long_short_alpha_pct",0.860635779617844,0.100494615880645,0.186360568777312,0.539248278431312,-0.214351364023067,1.41223164372932,-0.0192254760084508,-0.0278140686776153,0.321160047735677,-0.210989382337374
