"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.33633211042376,0.139820390917899,0.150343625012034,0.930005451888676,-0.374871229876339,1.64566928060466,-0.015678338906998,-0.0235821123984491,0.161614159709521,-0.12383973134804
"top_10_alpha",1.46472997762817,0.149263866505651,0.156660946551098,0.952782871492267,-0.351160376804457,1.59615811014206,-0.0162707890471958,-0.0243365949097477,0.153889893923603,-0.0112115186427317
"bot_10_ratio",1.52133038497668,0.153295114250591,0.227029203680964,0.675222005650036,0.0123845736546502,0.997440249891701,-0.0225102215195706,-0.0305429556153622,0.35591041233731,0.0174899614464763
"bot_10_alpha",1.74754588649453,0.168679174360132,0.233085483202742,0.723679450313135,0.0229200076548375,0.80548462744013,-0.0230832167037068,-0.0308793846938606,0.357378784449103,0.103320414452085
"bm_ex_ratio",1.66465307276724,0.163170775598586,0.129772399889969,1.25736116259647,-0.34743506816319,1.84370682312537,-0.0132934762283717,-0.0203412201209312,0.13464252867803,0.376900456411659
"top_10_ratio_pct",1.6721192531795,0.163672812638569,0.129973244239657,1.25928081272461,-0.421548575711508,1.80620035954099,-0.0134830700795564,-0.0206914208979514,0.111964373085807,0.307377875860248
"top_10_alpha_pct",1.96819668355633,0.18268510551567,0.140250018820516,1.30256742246474,-0.452141100951192,1.52101837124842,-0.0146527069581919,-0.0219770125865091,0.125100940162461,0.482054939354775
"bot_10_ratio_pct",1.85548194028984,0.175644835333555,0.148910735195547,1.1795310465891,-0.204613605612029,0.966524858436951,-0.0150936225596972,-0.0211962339078185,0.183458232683725,0.36937044982623
"bot_10_alpha_pct",1.94599597536398,0.181316527331793,0.198533309396259,0.913280133611725,-0.0465253338310452,0.68862868957058,-0.0198164345109735,-0.0266226344739193,0.285642004701362,0.234894751409305
"bm_ex_ratio_pct",1.51140386868321,0.152593690834236,0.131046164602497,1.16442698874171,-0.346764177628012,1.9170567748216,-0.0134520655067841,-0.0206763416293005,0.153614000508183,0.0642262510028883
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",-0.262318135716594,-0.0458373594528181,0.203345924946475,-0.225415677569557,-0.334963683221979,1.79295577898604,-0.0218963295497159,-0.0327590793944709,0.552787484042204,-0.784537262847589
"long_short_ratio_pct",-0.0939048773259252,-0.015093000602689,0.0682923731783419,-0.221005654076107,-0.43368002286661,1.76036602205143,-0.00748730551192654,-0.0112499403326235,0.268713809266681,-1.10078875829218
"long_short_alpha",-0.285063713719031,-0.0504349836758078,0.200436528981779,-0.251625708806765,-0.32501468323836,1.55791693217914,-0.0216317741680236,-0.031746929324445,0.503048828781039,-0.810644288220749
"long_short_alpha_pct",-0.123881828736877,-0.0201900196791307,0.152937984840494,-0.132014422056023,-0.269933954596967,1.18251049244625,-0.0163724347067456,-0.0232343938527853,0.395907527859763,-0.798107550323843
