"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",78,78,78,78,78,78,78,78,78,78
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1165,-0.1197,-0.1264,-0.1152,-0.068,-0.0772,-0.0925,-0.0795,-0.0937,-0.0707
"Quartile 1",-0.0074,-0.015,-0.0256,-0.0306,-0.0045,-0.0087,-0.0108,-0.0171,-0.026,-0.0017
"Median",0.014,0.0142,0.0091,0.0061,0.0121,0.0144,0.0117,0.0145,0.0099,0.0129
"Arithmetic Mean",0.0143,0.0138,0.0141,0.0148,0.0122,0.0133,0.013,0.0122,0.0115,0.0124
"Geometric Mean",0.0134,0.0128,0.0122,0.0128,0.0117,0.0128,0.0123,0.0115,0.0102,0.0119
"Quartile 3",0.0429,0.0383,0.0516,0.0596,0.0327,0.0329,0.0397,0.0373,0.0492,0.032
"Maximum",0.1111,0.1124,0.1623,0.1746,0.0803,0.0943,0.0985,0.1017,0.1306,0.078
"SE Mean",0.0047,0.0051,0.0071,0.0074,0.0034,0.0035,0.0042,0.0043,0.0059,0.0035
"LCL Mean (0.95)",0.0049,0.0036,-1e-04,1e-04,0.0054,0.0063,0.0045,0.0036,-2e-04,0.0055
"UCL Mean (0.95)",0.0236,0.024,0.0284,0.0295,0.019,0.0202,0.0214,0.0208,0.0233,0.0193
"Variance",0.0017,0.0021,0.004,0.0043,9e-04,0.001,0.0014,0.0015,0.0027,9e-04
"Stdev",0.0415,0.0454,0.0631,0.0652,0.0303,0.0309,0.0374,0.0381,0.052,0.0306
"Skewness",-0.3944,-0.174,0.239,0.3012,-0.1516,-0.2026,-0.2018,0.0882,0.2084,-0.2427
"Kurtosis",0.6716,0.5267,-0.1428,-0.3174,0.0072,0.5246,0.3792,-0.2047,-0.3451,0.0733
