"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0356,0.0383,0.0543,0.0517,0.0262,0.0298,0.0318,0.0425,0.0425,0.0261
"Gain Deviation",0.0298,0.0334,0.0699,0.0578,0.0243,0.0261,0.0295,0.045,0.0449,0.0245
"Loss Deviation",0.0376,0.035,0.0361,0.0385,0.021,0.027,0.0305,0.0335,0.0357,0.0207
"Downside Deviation (MAR=10%)",0.0295,0.0314,0.0511,0.0514,0.0226,0.0247,0.025,0.0411,0.0408,0.0223
"Downside Deviation (Rf=0%)",0.0264,0.0278,0.046,0.0465,0.0187,0.0213,0.0219,0.0365,0.0363,0.0184
"Downside Deviation (0%)",0.0264,0.0278,0.046,0.0465,0.0187,0.0213,0.0219,0.0365,0.0363,0.0184
"Maximum Drawdown",0.17,0.2102,0.5838,0.5896,0.1204,0.118,0.1192,0.4498,0.4348,0.1192
"Historical VaR (95%)",-0.0506,-0.0691,-0.1131,-0.1117,-0.0426,-0.0469,-0.0568,-0.0901,-0.0899,-0.042
"Historical ES (95%)",-0.0925,-0.0973,-0.1233,-0.1177,-0.0629,-0.0776,-0.0814,-0.1043,-0.1108,-0.0624
"Modified VaR (95%)",-0.0624,-0.0678,-0.111,-0.1079,-0.0451,-0.0504,-0.0514,-0.0876,-0.0875,-0.044
"Modified ES (95%)",-0.1049,-0.0981,-0.1348,-0.1297,-0.0626,-0.0752,-0.0779,-0.1076,-0.1095,-0.0619
