"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.134,-0.1403,-0.1309,-0.1219,-0.0741,-0.0945,-0.0962,-0.1146,-0.1272,-0.0734
"Quartile 1",-0.0011,-0.0061,-0.0425,-0.0477,-0.0062,4e-04,0.0037,-0.0277,-0.025,-0.0071
"Median",0.0247,0.0236,0.001,0.007,0.0181,0.0221,0.0215,0.007,0.0053,0.0188
"Arithmetic Mean",0.0219,0.0225,0.0139,0.0087,0.0152,0.0192,0.0235,0.0108,0.0114,0.0155
"Geometric Mean",0.0208,0.0211,0.0103,0.0057,0.0146,0.0184,0.0226,0.0088,0.0095,0.0149
"Quartile 3",0.0494,0.0586,0.0662,0.055,0.0408,0.0396,0.0498,0.0543,0.0554,0.0397
"Maximum",0.1329,0.1361,0.2673,0.2367,0.1233,0.1175,0.1174,0.1763,0.183,0.1288
"SE Mean",0.0056,0.0062,0.0103,0.0093,0.0043,0.0048,0.0051,0.0075,0.0074,0.0043
"LCL Mean (0.95)",0.0108,0.0102,-0.0066,-0.0099,0.0066,0.0097,0.0134,-0.0041,-0.0034,0.0069
"UCL Mean (0.95)",0.0331,0.0347,0.0344,0.0274,0.0239,0.0287,0.0336,0.0256,0.0262,0.0242
"Variance",0.0022,0.0027,0.0076,0.0063,0.0014,0.0016,0.0019,0.004,0.004,0.0013
"Stdev",0.0474,0.0522,0.0873,0.0793,0.0368,0.0404,0.0431,0.0633,0.063,0.0367
"Skewness",-0.67,-0.3779,0.7327,0.544,-0.0512,-0.3873,-0.4366,0.2848,0.2238,0.0035
"Kurtosis",1.7523,0.4686,0.1156,0.1789,0.2992,0.6172,0.5952,-0.0938,0.0402,0.4684
