"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1008,-0.1446,-0.2684,-0.2075,-0.0675,-0.0551,-0.0648,-0.1293,-0.1392,-0.0656
"Quartile 1",-0.0153,-0.0172,-0.065,-0.0551,-0.0041,-0.0104,-0.0087,-0.031,-0.0259,-0.0027
"Median",0.0125,0.0258,0.0062,0.016,0.0147,0.017,0.0175,0.0076,0.0109,0.0153
"Arithmetic Mean",0.0152,0.0166,9e-04,0.005,0.0138,0.0137,0.0157,0.0094,0.0109,0.0141
"Geometric Mean",0.0142,0.0152,-0.0049,0.0018,0.0133,0.0132,0.015,0.0075,0.0088,0.0135
"Quartile 3",0.046,0.0486,0.0601,0.0546,0.0327,0.0358,0.0371,0.0505,0.0526,0.0339
"Maximum",0.1154,0.1109,0.3194,0.2818,0.1081,0.0745,0.0945,0.2343,0.2244,0.1106
"SE Mean",0.0054,0.0062,0.0127,0.0096,0.0041,0.004,0.0043,0.0075,0.0076,0.004
"LCL Mean (0.95)",0.0045,0.0043,-0.0244,-0.0141,0.0057,0.0057,0.007,-0.0055,-0.0043,0.0061
"UCL Mean (0.95)",0.0259,0.0289,0.0262,0.0241,0.022,0.0217,0.0244,0.0244,0.0261,0.0221
"Variance",0.0021,0.0028,0.0116,0.0066,0.0012,0.0011,0.0014,0.004,0.0042,0.0012
"Stdev",0.0456,0.0525,0.1078,0.0813,0.0348,0.0339,0.0369,0.0635,0.0647,0.034
"Skewness",-0.0342,-0.4993,0.0986,0.0544,0.0883,-0.1222,-0.0322,0.3587,0.2068,0.0658
"Kurtosis",-0.191,0.1215,0.7917,1.0403,0.1465,-0.7331,-0.3268,1.1286,0.869,0.1793
