"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.82896146297073,0.173494562930771,0.143593526754921,1.20823387273497,-0.394396683373443,0.67161895403735,-0.0574136899255681,-0.0834841349539253,0.243394828112413,0.268372691915658
"top_10_alpha",1.69642587100391,0.164863806732868,0.157134209457276,1.04919105331862,-0.173981395469851,0.526681084804411,-0.0620479367126653,-0.0873150598371571,0.252995952196977,0.155125293553758
"bot_10_ratio",1.575792795593,0.15669022449175,0.218607958819814,0.716763585999632,0.239031835304473,-0.142759235715963,-0.0848548668277233,-0.1052905269845,0.269578265710239,0.0407202103898334
"bot_10_alpha",1.69312567405431,0.164644355431025,0.225851116430148,0.728995092136046,0.301219732688821,-0.317395299419696,-0.0864766026098187,-0.10519021112816,0.294235677801082,0.0834617513789412
"bm_ex_ratio",1.48705522391742,0.150468365472997,0.104950911370029,1.43370232338893,-0.151643262580246,0.00715232352486384,-0.0385947087207575,-0.0523008323393023,0.0935455194004479,0.019159624164583
"top_10_ratio_pct",1.69562398481827,0.164810505078336,0.107110543335865,1.53869544440216,-0.202641619926296,0.524552379991046,-0.0386901143826363,-0.0561364135123666,0.0986325067632452,0.462056312357491
"top_10_alpha_pct",1.58951001575968,0.157635770131078,0.129597297054596,1.21635075509847,-0.201832423035747,0.37923407966647,-0.050000642007409,-0.0700484360364181,0.153278765760256,0.10958364820285
"bot_10_ratio_pct",1.43507749252055,0.146736155503754,0.132051254706737,1.11120606789864,0.0881857334104533,-0.204662415288515,-0.0493164125119285,-0.062970945230685,0.15251480441264,-0.0425886901550112
"bot_10_alpha_pct",1.21122042582381,0.129848760365835,0.180016426645534,0.721316175337248,0.208435208785979,-0.34505828240066,-0.0706478510180722,-0.0865737106537124,0.255463566187019,-0.153280696328657
"bm_ex_ratio_pct",1.52379265540881,0.153066649536574,0.105881449856976,1.44564179791016,-0.24272599374674,0.0733407260260974,-0.0395712835106462,-0.0542515298993668,0.102140772096132,0.0967534686093645
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",-0.0944801740139718,-0.0151526572687437,0.183318146978801,-0.0826577047524704,-0.433521446073201,0.179177928686097,-0.0924515872848649,-0.119586403303211,0.388181066474833,-0.739403398661536
"long_short_ratio_pct",0.0674956382179741,0.0100991759280145,0.0765502322372604,0.131928743164527,-0.105972008990145,1.9974603745365,-0.0348070341992669,-0.0514543279333021,0.150059994432016,-1.07344645153977
"long_short_alpha",-0.184278990681753,-0.0308499494268473,0.193752203922887,-0.15922373424524,-0.527534266444666,0.557596853369937,-0.0998488072080495,-0.133525051180965,0.417152580971339,-0.798132561016368
"long_short_alpha_pct",0.0427702687946532,0.00646401627048898,0.146589130250584,0.044096149963092,-0.0269186403933056,-0.195406120254096,-0.068221843378775,-0.0846586636507757,0.291615555173696,-0.771481359132263
