"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",4.237155557714,0.290119895992361,0.172923041189348,1.67773995875242,-0.371257450319955,2.13056082893962,-0.0618750545026497,-0.107693359023396,0.1700459991064,1.07593592996083
"top_10_alpha",3.86628271545763,0.275623957533577,0.181420969430534,1.51925082529731,-0.337884400077982,0.301045815059934,-0.0683212440208458,-0.096611290253484,0.210154250609512,0.936582335765303
"bot_10_ratio",1.24723680997727,0.132660672657141,0.293701036855589,0.45168608894755,0.705373859624345,0.100069865099371,-0.106886551783599,-0.129750187034548,0.575314092761641,-0.0695264717599493
"bot_10_alpha",0.605063568509764,0.0755093501280799,0.270381175302188,0.27926999741638,0.506628788170699,0.179283075352266,-0.106727094247148,-0.128751376218378,0.589562476289558,-0.333817246057096
"bm_ex_ratio",2.12321403908269,0.191495966908353,0.125622708218396,1.52437381444951,-0.0637259814114078,0.273253506495012,-0.0443675737323563,-0.0617630803933458,0.120374354736526,0.582415051007855
"top_10_ratio_pct",2.86170123773361,0.231044187013553,0.123183261033106,1.87561349712491,-0.246966480397331,0.139809599775467,-0.042364569697596,-0.0599673557482174,0.104816919775595,1.18063854737435
"top_10_alpha_pct",4.46907197966917,0.29874884778339,0.148154794544971,2.01646425754186,-0.380793774284344,0.459512129558159,-0.051068826510106,-0.075850182423821,0.119240224869587,1.56858991121161
"bot_10_ratio_pct",1.61240415711278,0.159204494528,0.153704067045233,1.03578582914887,0.0411905537262537,0.407459189273978,-0.058285930395432,-0.0788996576546967,0.233480769979922,0.0921533167093354
"bot_10_alpha_pct",1.20927491203285,0.12969576758034,0.212652125245115,0.609896409127563,0.187502417474653,0.128038136826474,-0.0848283331244083,-0.107733709970155,0.434809972694793,-0.126013896599198
"bm_ex_ratio_pct",2.10021306918161,0.190141773111754,0.127537032486781,1.49087499845554,-0.0195372479003961,0.27137925928109,-0.0448990743849583,-0.0620350939879554,0.11753270097514,0.538100998490873
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",0.573322867228933,0.0722095472492592,0.266655360217194,0.270797283768995,-0.662999391391559,0.605999813576417,-0.129795755319872,-0.175455653363994,0.525534198326566,-0.254969990122931
"long_short_ratio_pct",0.419438535568992,0.0553646727819606,0.0770843834734046,0.71823461883252,0.405835769060084,1.56822810914688,-0.028305124965793,-0.0367349704456814,0.0999295748335169,-0.699054351650587
"long_short_alpha",1.2591394000469,0.133581563150513,0.235794018246185,0.566518031899541,-0.489323803233587,0.93288117899644,-0.106241805475634,-0.153595337761505,0.386674935099419,-0.0599596415577753
"long_short_alpha_pct",1.15528546910827,0.125403939068864,0.154489833236731,0.811729396307282,-0.0706423334631993,0.60213727919331,-0.0623617212556209,-0.0862908061993417,0.259548057387456,-0.122260967953853
