"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",2.17211126184691,0.194347005155849,0.155544023506581,1.24946623325342,-0.0144841921580418,-0.134349852458936,-0.0577938983614766,-0.0755843965419045,0.1007503,0.377728493458572
"top_10_alpha",2.0862639003667,0.189316361907616,0.182171890230738,1.0392182990901,-0.381427481049893,0.0506755346566776,-0.0754938723147087,-0.100887433097578,0.1446024,0.284862062814084
"bot_10_ratio",-0.211222413521253,-0.0358450048738687,0.361851616112237,-0.0990599551799445,0.0704403591420633,0.964593113759596,-0.164194372616535,-0.219012034446059,0.675619024264943,-0.568222555733926
"bot_10_alpha",0.243484110662166,0.0340940444613784,0.272323171358184,0.125197001383826,0.0351783266345331,1.26487032375423,-0.119840491649397,-0.165375517193604,0.610219487996566,-0.490984979711204
"bm_ex_ratio",1.73907785550336,0.167679754237448,0.118684777226224,1.41281601698451,0.0643784230028422,0.184156864414988,-0.0416666773185227,-0.0561861637832866,0.129529973079409,0.304549969809326
"top_10_ratio_pct",1.94244944476481,0.180617125017314,0.107675718894153,1.67741740544925,0.0431619606659024,-0.457294496423107,-0.0363009407842203,-0.0464878178195041,0.0747320291685716,0.679428916128781
"top_10_alpha_pct",2.20965664860053,0.196511023310899,0.128055782473126,1.53457360156414,-0.00750165836922558,-0.340924456964018,-0.0450162011521498,-0.0582638669957578,0.0910440980466106,0.668608188049003
"bot_10_ratio_pct",1.62732093845467,0.160220356530983,0.145031677409948,1.10472663208675,0.202253670927478,0.284712093339989,-0.0524475579471898,-0.0686161481570585,0.226839482372215,0.116855457079144
"bot_10_alpha_pct",1.13766323745677,0.1239833826905,0.217645314990544,0.5696579441459,0.175574645161799,1.01854137778829,-0.0865328828637973,-0.116381394759091,0.443364650256164,-0.15278014813162
"bm_ex_ratio_pct",1.71496554376954,0.166092420950046,0.118863984025311,1.39733176800366,-0.0497099776862378,0.332281858059245,-0.042866388978636,-0.0595154869714053,0.117649423248103,0.26618898923428
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",0.92858792030868,0.106325674328291,0.346048108856969,0.307256914882429,-0.247274953805823,0.947873953135341,-0.154738311077398,-0.220365907748889,0.516498124825449,-0.115109462398079
"long_short_ratio_pct",0.0717946896163324,0.0107239434223041,0.0698908911030107,0.153438355886725,-0.162241726936713,0.256415931062669,-0.0326930565979617,-0.0428428089932898,0.133852407657133,-1.03850224219456
"long_short_alpha",0.731688506829433,0.0881472219177548,0.268651517445461,0.32810989774383,-0.163374173347448,1.27954152120782,-0.118231989714127,-0.171209088707802,0.453784084173682,-0.21019133199134
"long_short_alpha_pct",0.249276384247964,0.0348336518366161,0.166479114886805,0.209237368064462,-0.49647506549982,1.61117544320101,-0.0794893438017483,-0.12040421991726,0.294057020201039,-0.546352406634087
