"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0253,0.0297,0.0584,0.0643,0.022,0.0228,0.0313,0.0303,0.0643,0.0233
"Gain Deviation",0.0192,0.0277,0.091,0.0971,0.022,0.02,0.0293,0.0393,0.0999,0.0234
"Loss Deviation",0.0213,0.023,0.051,0.0544,0.0183,0.0206,0.0234,0.0249,0.0556,0.0178
"Downside Deviation (MAR=10%)",0.0264,0.0291,0.0605,0.0663,0.0203,0.0218,0.0309,0.0295,0.0666,0.0218
"Downside Deviation (Rf=0%)",0.022,0.0244,0.0558,0.0616,0.0162,0.0179,0.0262,0.0251,0.0619,0.0177
"Downside Deviation (0%)",0.022,0.0244,0.0558,0.0616,0.0162,0.0179,0.0262,0.0251,0.0619,0.0177
"Maximum Drawdown",0.1811,0.2401,0.6218,0.6775,0.1491,0.1091,0.2642,0.319,0.6583,0.1794
"Historical VaR (95%)",-0.0464,-0.0628,-0.1332,-0.1457,-0.0441,-0.048,-0.0633,-0.0685,-0.1457,-0.0433
"Historical ES (95%)",-0.0692,-0.075,-0.1638,-0.1767,-0.0519,-0.0574,-0.0799,-0.0719,-0.1792,-0.0545
"Modified VaR (95%)",-0.0535,-0.0597,-0.0962,-0.1064,-0.0382,-0.0431,-0.0635,-0.0469,-0.1049,-0.0423
"Modified ES (95%)",-0.0704,-0.0765,-0.1652,-0.1709,-0.0517,-0.0574,-0.0803,-0.0527,-0.1819,-0.0556
