"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0989,-0.1046,-0.1706,-0.1976,-0.0545,-0.0989,-0.1046,-0.1706,-0.1976,-0.0548
"Quartile 1",-0.0171,-0.0197,-0.0436,-0.0477,-0.0053,-0.0166,-0.0223,-0.0429,-0.0511,-0.0051
"Median",0.0097,0.0124,0.0033,0.0049,0.0117,0.0085,0.0099,0.0041,0.0018,0.0113
"Arithmetic Mean",0.0063,0.0095,0.0044,0.0048,0.0115,0.0064,0.009,0.0051,0.0043,0.0112
"Geometric Mean",0.0057,0.0085,-1e-04,-5e-04,0.011,0.0058,0.008,3e-04,-0.0011,0.0107
"Quartile 3",0.0313,0.0419,0.0439,0.0457,0.0271,0.0321,0.0419,0.0387,0.0423,0.027
"Maximum",0.0719,0.1211,0.4536,0.5007,0.1116,0.0719,0.1262,0.4968,0.5111,0.1104
"SE Mean",0.0041,0.0051,0.0116,0.0127,0.0037,0.0041,0.0054,0.0122,0.0128,0.0037
"LCL Mean (0.95)",-0.0018,-7e-04,-0.0188,-0.0205,0.004,-0.0018,-0.0017,-0.0192,-0.0213,0.0038
"UCL Mean (0.95)",0.0143,0.0196,0.0275,0.0301,0.0189,0.0146,0.0197,0.0293,0.0298,0.0186
"Variance",0.0012,0.0019,0.0097,0.0116,0.001,0.0012,0.0021,0.0106,0.0118,0.001
"Stdev",0.0344,0.0431,0.0986,0.1078,0.0317,0.035,0.0456,0.1032,0.1087,0.0316
"Skewness",-0.4245,0.1042,1.6097,1.5658,0.1829,-0.4243,0.1596,1.7699,1.6266,0.1809
"Kurtosis",0.0938,0.0405,5.6992,5.6995,0.5734,-0.0106,0.0288,6.623,6.0103,0.5731
