"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0303,0.0348,0.0411,0.0428,0.0296,0.0287,0.0355,0.0323,0.043,0.0302
"Gain Deviation",0.0303,0.0365,0.0385,0.0385,0.0249,0.025,0.0375,0.0317,0.0391,0.0229
"Loss Deviation",0.0248,0.0291,0.0343,0.0322,0.0269,0.0289,0.0304,0.026,0.0328,0.0271
"Downside Deviation (MAR=10%)",0.0247,0.0294,0.0398,0.0416,0.026,0.0246,0.0303,0.0285,0.0418,0.0267
"Downside Deviation (Rf=0%)",0.0209,0.0254,0.0354,0.0369,0.0223,0.0212,0.0264,0.0244,0.0371,0.0229
"Downside Deviation (0%)",0.0209,0.0254,0.0354,0.0369,0.0223,0.0212,0.0264,0.0244,0.0371,0.0229
"Maximum Drawdown",0.1336,0.202,0.3104,0.3209,0.1337,0.1397,0.2199,0.1443,0.3272,0.1578
"Historical VaR (95%)",-0.0461,-0.0581,-0.0858,-0.0883,-0.0469,-0.0369,-0.0585,-0.0602,-0.0883,-0.0558
"Historical ES (95%)",-0.0741,-0.0878,-0.1074,-0.1052,-0.0776,-0.0787,-0.0904,-0.08,-0.1072,-0.0785
"Modified VaR (95%)",-0.0528,-0.0622,-0.0849,-0.0894,-0.0537,-0.0514,-0.0647,-0.0603,-0.0899,-0.0555
"Modified ES (95%)",-0.0719,-0.0857,-0.1066,-0.1081,-0.0781,-0.0795,-0.0891,-0.0799,-0.1093,-0.077
