"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1024,-0.1278,-0.1202,-0.122,-0.1054,-0.1047,-0.1339,-0.1073,-0.1238,-0.1001
"Quartile 1",-0.012,-0.0127,-0.0285,-0.0388,-0.0085,-0.0072,-0.0145,-0.0172,-0.0361,-0.0111
"Median",0.0174,0.0199,0.007,0.0132,0.0182,0.0164,0.0175,0.0143,0.0117,0.0228
"Arithmetic Mean",0.0189,0.0187,0.0106,0.0104,0.0159,0.017,0.0182,0.0154,0.0104,0.0154
"Geometric Mean",0.0179,0.0175,0.0089,0.0086,0.0151,0.0163,0.0169,0.0144,0.0086,0.0146
"Quartile 3",0.0435,0.0462,0.0437,0.0478,0.0406,0.0411,0.045,0.0473,0.0463,0.0412
"Maximum",0.1199,0.1516,0.1409,0.1323,0.0939,0.0915,0.1426,0.1148,0.1387,0.0898
"SE Mean",0.0051,0.006,0.0069,0.0072,0.0047,0.0046,0.0061,0.0054,0.0073,0.0047
"LCL Mean (0.95)",0.0086,0.0067,-0.0032,-0.004,0.0065,0.0079,0.006,0.0046,-0.004,0.0059
"UCL Mean (0.95)",0.0291,0.0307,0.0244,0.0248,0.0252,0.0261,0.0303,0.0263,0.0249,0.0248
"Variance",0.0019,0.0026,0.0035,0.0038,0.0016,0.0015,0.0027,0.0021,0.0038,0.0016
"Stdev",0.0437,0.0509,0.0588,0.0613,0.0398,0.0387,0.0518,0.0462,0.0617,0.0401
"Skewness",-0.0332,0.1126,0.0455,0.0594,-0.4637,-0.5708,0.0818,-0.027,0.0579,-0.5111
"Kurtosis",0.0689,0.6166,-0.2047,-0.5663,0.5931,1.0553,0.5755,0.0146,-0.5177,0.3034
