"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.026,0.0273,0.0413,0.0407,0.0214,0.0209,0.0226,0.0235,0.0334,0.0234
"Gain Deviation",0.0253,0.0265,0.0483,0.0454,0.0211,0.0202,0.0243,0.0259,0.0378,0.0217
"Loss Deviation",0.0197,0.0214,0.0295,0.0228,0.0147,0.0151,0.0175,0.0149,0.0201,0.0193
"Downside Deviation (MAR=10%)",0.0238,0.025,0.0355,0.0343,0.0183,0.0172,0.0188,0.0194,0.0284,0.0208
"Downside Deviation (Rf=0%)",0.0195,0.0207,0.031,0.0293,0.0143,0.0133,0.0151,0.0152,0.0238,0.0169
"Downside Deviation (0%)",0.0195,0.0207,0.031,0.0293,0.0143,0.0133,0.0151,0.0152,0.0238,0.0169
"Maximum Drawdown",0.0876,0.0921,0.2595,0.25,0.0861,0.0723,0.0783,0.1162,0.2088,0.1104
"Historical VaR (95%)",-0.0436,-0.0531,-0.0605,-0.0608,-0.032,-0.0293,-0.0397,-0.0365,-0.0503,-0.0355
"Historical ES (95%)",-0.0586,-0.065,-0.0942,-0.0814,-0.0438,-0.0452,-0.0499,-0.0443,-0.068,-0.053
"Modified VaR (95%)",-0.0479,-0.0513,-0.078,-0.0759,-0.0358,-0.0331,-0.0363,-0.0395,-0.0616,-0.0416
"Modified ES (95%)",-0.0624,-0.0647,-0.0964,-0.091,-0.0467,-0.0456,-0.0501,-0.0491,-0.0744,-0.0574
