"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0862,-0.0705,-0.1396,-0.0915,-0.0595,-0.0582,-0.0594,-0.058,-0.0908,-0.0847
"Quartile 1",-0.0116,-0.0122,-0.0282,-0.0312,-0.005,-0.0074,8e-04,-0.008,-0.0257,-0.0056
"Median",0.0117,0.0092,0.0103,0.0135,0.0143,0.0181,0.0126,0.0106,0.0087,0.0138
"Arithmetic Mean",0.0123,0.0125,0.0183,0.0187,0.0141,0.0153,0.0156,0.0155,0.0167,0.0133
"Geometric Mean",0.0117,0.0117,0.0163,0.0169,0.0137,0.0148,0.0151,0.0149,0.0155,0.0128
"Quartile 3",0.0373,0.0397,0.0523,0.0503,0.0354,0.0363,0.0396,0.0381,0.052,0.032
"Maximum",0.1144,0.1131,0.1981,0.1909,0.0794,0.0969,0.1143,0.0909,0.1357,0.0825
"SE Mean",0.0044,0.0047,0.0075,0.0074,0.0036,0.0035,0.0038,0.0041,0.006,0.0038
"LCL Mean (0.95)",0.0036,0.0032,0.0033,0.004,0.007,0.0083,0.0079,0.0072,0.0048,0.0057
"UCL Mean (0.95)",0.0211,0.0218,0.0333,0.0335,0.0212,0.0222,0.0233,0.0238,0.0286,0.021
"Variance",0.0014,0.0016,0.0041,0.004,9e-04,9e-04,0.0011,0.0012,0.0026,0.0011
"Stdev",0.0374,0.0396,0.0639,0.0629,0.0303,0.0295,0.0326,0.0352,0.0507,0.0327
"Skewness",0.0792,0.1005,0.4333,0.477,-0.0289,-0.0087,0.1226,0.2771,0.3448,-0.1902
"Kurtosis",-0.0204,-0.3077,0.0199,-0.4834,-0.3592,0.0383,0.3309,-0.4776,-0.5561,0.13
