"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",0.455881418814821,0.0594886490041684,0.117422850448177,0.506619016461559,-0.391452164721857,0.0974149791809333,-0.0535845374378703,-0.0703309846628527,0.18109460341424,-0.967152892102323
"top_10_alpha",0.763901642536833,0.0912371257963811,0.150286932829928,0.607086218863949,0.186332643914805,-0.0643274725123368,-0.0604251747523264,-0.0755840565178877,0.24012171108067,-0.57656223035948
"bot_10_ratio",0.157208066195962,0.0227173132215055,0.33753141626309,0.0673042926581933,1.49183166866034,5.38283850555892,-0.0974026250290575,-0.143659492759217,0.621823660169497,-0.424590380320099
"bot_10_alpha",0.181820131217936,0.0260339975133568,0.369311535457336,0.0704933234244028,1.43301503875905,5.31711326166888,-0.108291919828243,-0.146156691412973,0.677488207960401,-0.371881387490723
"bm_ex_ratio",1.29660100691843,0.13645337626778,0.110375345871991,1.23626680568715,0.0730932334833747,0.526780800676351,-0.0398629249067013,-0.0547843229206393,0.149087315678851,-0.180611256790576
"top_10_ratio_pct",0.779763221872322,0.0927410694257336,0.110976780431465,0.83567994192269,-0.680270888275456,0.934927649880476,-0.0497050322665888,-0.0714977458389907,0.132953662348675,-0.622267736432543
"top_10_alpha_pct",0.68019917149748,0.0831058140570506,0.15858145542373,0.524057581859062,0.231381104454419,-0.0624577481951101,-0.0641379831005615,-0.0795066194411747,0.264238780228191,-0.608160264950937
"bot_10_ratio_pct",0.949393916968303,0.108153543357822,0.172856791037123,0.625682929255554,0.85991295317107,3.70049416457189,-0.0552539507795867,-0.0599313971935535,0.338960905008619,-0.324962729202342
"bot_10_alpha_pct",0.115350904593034,0.0169370742282016,0.372475618961165,0.0454716318760382,1.49519492959826,5.63053900390008,-0.107024251933064,-0.153419638504386,0.658281480953424,-0.394901620913279
"bm_ex_ratio_pct",1.26771474801557,0.134242487507241,0.11778830802833,1.13969280783755,0.087757107490676,0.229875455617543,-0.0434486585963274,-0.0578010276990974,0.177634963362288,-0.193897145747136
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",-0.368777538629919,-0.0683370229409888,0.330757306773034,-0.206607749977483,-1.28939070286131,4.31689962745428,-0.180408553585012,-0.317030095767344,0.667013240118726,-0.587248795916468
"long_short_ratio_pct",-0.176534494453009,-0.0294400393788683,0.122529509433936,-0.240268972877438,-0.561543259565799,5.87991993912056,-0.0608945264661262,-0.116473288418403,0.34748066473156,-0.97272081148185
"long_short_alpha",-0.274680465446601,-0.0482059607372328,0.329248529869125,-0.146412075875918,-1.26115832678991,4.27014625923488,-0.177345109108904,-0.313336742221273,0.635744792193129,-0.546959400275252
"long_short_alpha_pct",-0.271379234816321,-0.0475407773842921,0.332091570892994,-0.143155627998793,-1.24968035344951,4.23967926743981,-0.178536772059049,-0.315366433484434,0.636590341096377,-0.54316409855997
