"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",3.09012754895846,0.24197645234452,0.158781368672689,1.52395998577975,0.13262294141257,0.178166165662366,-0.0537745169211064,-0.072061337224845,0.133612384037713,0.811913427804407
"top_10_alpha",3.09885459204118,0.242383775001258,0.179142688021353,1.35302075501048,0.238511149642073,0.60899022050138,-0.0608050256074914,-0.0817522722605122,0.201989471719566,0.691957297067205
"bot_10_ratio",0.794698097796268,0.0941468147460207,0.197753161402575,0.476082476144905,0.10035617856478,-0.0888329558214354,-0.0826477328364636,-0.103895940094728,0.310386424678944,-0.399325348260541
"bot_10_alpha",0.771834823913385,0.0919907484042968,0.206122665843583,0.446291280135607,0.107879786607232,-0.453245331696428,-0.08686727353225,-0.105591093348463,0.320887525291348,-0.395019927979794
"bm_ex_ratio",1.9938114206378,0.183764464126896,0.135298674589516,1.35821333567694,-0.380799766104023,0.542075252206559,-0.052592456019982,-0.0759615806099923,0.133713446670133,0.550778789088127
"top_10_ratio_pct",2.49030859869002,0.21204156043352,0.130925656056299,1.61955698234073,-0.554267404744601,1.07313689869496,-0.0497947017099436,-0.0773913113948079,0.132637155665271,0.990893821556611
"top_10_alpha_pct",2.87903815711682,0.23189283999921,0.182973546661054,1.26735719031984,0.214103309494326,0.558229926193738,-0.0636135471204634,-0.0853146674383483,0.219915384017688,0.599421428697892
"bot_10_ratio_pct",1.80152077103973,0.171736133127072,0.156560239656228,1.09693325396133,0.0746908203138997,-0.00842914178367371,-0.0586216477235003,-0.0763335711186754,0.14099346681732,0.234227378899852
"bot_10_alpha_pct",0.752614882105316,0.0901599676409652,0.207655578863984,0.43418032943878,0.109621183809309,-0.410154912203847,-0.0876139675552342,-0.10685852225877,0.327155545370062,-0.402940092366026
"bm_ex_ratio_pct",1.77948145780258,0.170313244998012,0.13636330485594,1.24896683296095,-0.410162452678057,0.261718644750403,-0.0546065654934888,-0.075612526719755,0.155287666983693,0.325802438833616
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",1.00301355385444,0.11278920980624,0.169130222875508,0.666877911520643,-0.0946474415294404,0.904418253941142,-0.0700842056271707,-0.0990885098649962,0.2013280697572,-0.174049381005348
"long_short_ratio_pct",0.202893946504351,0.0288277449463503,0.0697993665673908,0.413008689964505,0.352187316406696,0.00498791359733719,-0.0283065221729366,-0.0344893327284789,0.116547861457739,-0.931118151500659
"long_short_alpha",1.02637758968405,0.114776358327021,0.182342447857004,0.629454960575228,0.110013570665671,0.212411684372458,-0.0737040529321222,-0.0953733242899169,0.237181843422607,-0.157654895012224
"long_short_alpha_pct",0.940289900261154,0.107355769605192,0.183249959380021,0.585843347351359,0.103156941798889,0.221506229538179,-0.0747639847495689,-0.0967376843825196,0.24088818327947,-0.191124006112418
