"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.01689225673501,0.113971965288086,0.131065196940092,0.869582222809163,0.0984503014176027,-0.0506757251716121,-0.0510786949326019,-0.0653952357351123,0.160505085674702,-0.387018616472145
"top_10_alpha",1.02277163718085,0.114470935689611,0.138458633483551,0.826751881118418,0.133018880893319,-0.354093415241382,-0.0542383120682251,-0.06718913349147,0.171477599700033,-0.376829086185389
"bot_10_ratio",1.94861339563105,0.180997280536634,0.217037264165295,0.833945641697675,0.515634131733501,0.13092683259721,-0.0769571090832114,-0.0943665678116528,0.259529660524488,0.181357424035701
"bot_10_alpha",2.30048041626867,0.201658607229399,0.214665304669166,0.939409410105596,0.509634807912624,-0.427185423673976,-0.0753266363626462,-0.0903368548458259,0.249964015714193,0.305417577353269
"bm_ex_ratio",1.6554941820335,0.162125769202886,0.104503665216662,1.55138835433914,-0.0159716073199447,-0.366283223552673,-0.036616087847661,-0.0473409974581609,0.0861210991687529,0.331837771660768
"top_10_ratio_pct",1.7457233893292,0.168115156355237,0.104156083870377,1.61406948214814,-0.0482827369974912,-0.156571409629541,-0.0361666548383385,-0.0481983180908171,0.100332195862569,0.411427946530978
"top_10_alpha_pct",1.75598530487829,0.168785748213835,0.113832892409367,1.48275023713574,0.133002116796199,0.275343198601273,-0.0386698222652646,-0.0521913570434962,0.0973453451477058,0.304079130756867
"bot_10_ratio_pct",1.86497426164683,0.175780532711689,0.120992808940722,1.45281801662948,0.293749824704153,-0.375274351057218,-0.0402139169997731,-0.0500676990268521,0.11328066697142,0.406303662451237
"bot_10_alpha_pct",1.9806901102925,0.182964792963536,0.171703718612168,1.06558433586871,0.39811505057342,-0.452867569434221,-0.0604534115944066,-0.0730048934565743,0.208845509265125,0.272920927091145
"bm_ex_ratio_pct",1.47957850766825,0.149935595382761,0.112126455082753,1.33720088869396,-0.160109621828251,0.121802703839855,-0.042044061499276,-0.0574692784319002,0.113413648179169,0.00174358333754892
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",-0.447527313727372,-0.0872422912350027,0.18665795630943,-0.467391227033354,-0.562579940294555,-0.130752811284847,-0.102546916946619,-0.124708630856005,0.57374029297612,-1.02679103023879
"long_short_ratio_pct",-0.0662068880438283,-0.0104831832626492,0.0651396612686873,-0.160933954191261,-0.643787065303593,1.68974471036329,-0.0340693954360421,-0.0506254683338179,0.137675921025165,-1.29313579914884
"long_short_alpha",-0.493282333235868,-0.0993015990234359,0.173778519499474,-0.571426199909226,-0.395920543651253,-0.377643130473857,-0.0952329232370186,-0.114040438268365,0.565399280096602,-1.15420749487521
"long_short_alpha_pct",-0.169535718928108,-0.0281755087212924,0.130032018019407,-0.216681315497906,-0.330483222568603,-0.129423090782699,-0.066545644372635,-0.083063979562202,0.260055729788821,-0.994716449976781
