"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0283,0.03,0.0489,0.0477,0.022,0.0238,0.025,0.0377,0.0388,0.022
"Gain Deviation",0.0196,0.0217,0.049,0.0542,0.0207,0.0182,0.0182,0.038,0.0391,0.0202
"Loss Deviation",0.0297,0.0295,0.0391,0.0366,0.0175,0.023,0.0249,0.0288,0.0287,0.0179
"Downside Deviation (MAR=10%)",0.0269,0.0275,0.0473,0.045,0.0192,0.022,0.0232,0.0352,0.0361,0.0192
"Downside Deviation (Rf=0%)",0.0233,0.0238,0.0426,0.0404,0.0155,0.0184,0.0196,0.0306,0.0315,0.0155
"Downside Deviation (0%)",0.0233,0.0238,0.0426,0.0404,0.0155,0.0184,0.0196,0.0306,0.0315,0.0155
"Maximum Drawdown",0.2652,0.2817,0.3453,0.3286,0.0942,0.122,0.1187,0.2673,0.2852,0.0931
"Historical VaR (95%)",-0.0477,-0.0499,-0.0955,-0.0893,-0.0341,-0.0337,-0.0356,-0.0737,-0.0794,-0.0344
"Historical ES (95%)",-0.084,-0.0852,-0.1302,-0.1123,-0.0512,-0.0645,-0.0701,-0.0912,-0.0936,-0.0503
"Modified VaR (95%)",-0.0565,-0.0578,-0.1039,-0.0985,-0.0378,-0.0447,-0.0473,-0.0749,-0.0775,-0.0377
"Modified ES (95%)",-0.0884,-0.087,-0.1277,-0.1196,-0.0516,-0.0649,-0.0708,-0.0927,-0.0947,-0.0514
