"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1234,-0.1251,-0.1662,-0.1663,-0.0671,-0.0724,-0.0947,-0.0888,-0.1034,-0.0675
"Quartile 1",-0.0072,-0.0082,-0.039,-0.0323,-9e-04,-0.004,-0.0076,-0.0174,-0.0324,-0.0014
"Median",0.015,0.0175,-0.0042,0.0013,0.012,0.013,0.0162,0.0138,0.0085,0.0128
"Arithmetic Mean",0.0112,0.0135,0.0114,0.0128,0.0137,0.0131,0.0122,0.0138,0.013,0.0137
"Geometric Mean",0.0105,0.0127,0.0088,0.0102,0.0133,0.0127,0.0116,0.013,0.0114,0.0132
"Quartile 3",0.0335,0.0387,0.0625,0.0571,0.0336,0.0278,0.0341,0.0389,0.0519,0.0339
"Maximum",0.0768,0.0825,0.173,0.1782,0.0813,0.0829,0.071,0.1118,0.1472,0.0742
"SE Mean",0.0043,0.0046,0.0086,0.0086,0.0036,0.0034,0.0038,0.0048,0.0067,0.0036
"LCL Mean (0.95)",0.0027,0.0043,-0.0057,-0.0043,0.0065,0.0063,0.0046,0.0043,-4e-04,0.0066
"UCL Mean (0.95)",0.0197,0.0227,0.0285,0.03,0.0209,0.0199,0.0198,0.0233,0.0265,0.0207
"Variance",0.0013,0.0015,0.0053,0.0053,9e-04,8e-04,0.001,0.0016,0.0033,9e-04
"Stdev",0.0363,0.0392,0.0728,0.073,0.0305,0.029,0.0324,0.0404,0.0572,0.0302
"Skewness",-1.0029,-0.7849,0.1943,0.3827,-0.1875,-0.2997,-0.8595,0.0354,0.2049,-0.2462
"Kurtosis",2.0249,1.2597,-0.1776,-0.1011,-0.0141,0.579,1.277,-0.0531,-0.3893,-0.1239
