"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0329,0.0384,0.0569,0.0557,0.0263,0.0288,0.0329,0.0414,0.043,0.0265
"Gain Deviation",0.0298,0.0322,0.0662,0.0654,0.0246,0.0243,0.0283,0.0434,0.0434,0.0242
"Loss Deviation",0.029,0.0361,0.0453,0.0471,0.021,0.0258,0.0279,0.031,0.0317,0.0212
"Downside Deviation (MAR=10%)",0.026,0.0303,0.0538,0.0525,0.0227,0.0227,0.026,0.0396,0.0421,0.0229
"Downside Deviation (Rf=0%)",0.0224,0.027,0.0491,0.048,0.0188,0.0193,0.0225,0.0349,0.0372,0.0189
"Downside Deviation (0%)",0.0224,0.027,0.0491,0.048,0.0188,0.0193,0.0225,0.0349,0.0372,0.0189
"Maximum Drawdown",0.1501,0.1668,0.5866,0.5563,0.1181,0.128,0.151,0.4358,0.4635,0.122
"Historical VaR (95%)",-0.0446,-0.0657,-0.1113,-0.1036,-0.0429,-0.0414,-0.0526,-0.0794,-0.0859,-0.0427
"Historical ES (95%)",-0.0801,-0.0949,-0.1392,-0.137,-0.0634,-0.0683,-0.0805,-0.0935,-0.1022,-0.0647
"Modified VaR (95%)",-0.0556,-0.0652,-0.1189,-0.114,-0.0452,-0.0467,-0.0542,-0.0849,-0.0898,-0.0456
"Modified ES (95%)",-0.0816,-0.0951,-0.1452,-0.142,-0.0631,-0.0691,-0.0774,-0.1018,-0.1082,-0.0639
