"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1187,-0.1313,-0.1857,-0.2167,-0.0759,-0.0805,-0.0963,-0.0938,-0.1225,-0.0699
"Quartile 1",-0.0085,-0.0055,-0.0385,-0.0361,-0.0062,-0.0057,-0.0035,-0.0144,-0.0396,-0.0099
"Median",0.0258,0.0281,0.0024,0.0019,0.0169,0.0207,0.0247,0.0076,-2e-04,0.0156
"Arithmetic Mean",0.0222,0.0257,0.014,0.014,0.0152,0.0179,0.0229,0.0132,0.0098,0.0155
"Geometric Mean",0.0212,0.0244,0.0104,0.0105,0.0145,0.0173,0.022,0.0122,0.0078,0.0148
"Quartile 3",0.0533,0.0699,0.0636,0.0534,0.0384,0.038,0.0484,0.0383,0.0525,0.0457
"Maximum",0.1141,0.1337,0.249,0.2361,0.1239,0.1151,0.1233,0.1554,0.1849,0.1151
"SE Mean",0.0053,0.0061,0.0102,0.01,0.0043,0.0043,0.0052,0.0053,0.0076,0.0043
"LCL Mean (0.95)",0.0116,0.0137,-0.0064,-0.006,0.0065,0.0094,0.0125,0.0026,-0.0054,0.0069
"UCL Mean (0.95)",0.0329,0.0378,0.0345,0.034,0.0238,0.0265,0.0334,0.0238,0.025,0.024
"Variance",0.0021,0.0026,0.0076,0.0073,0.0014,0.0013,0.002,0.002,0.0042,0.0013
"Stdev",0.0454,0.0513,0.0869,0.0852,0.0369,0.0364,0.0444,0.0453,0.0646,0.0365
"Skewness",-0.3234,-0.5414,0.4454,0.4128,-0.0518,-0.188,-0.3902,0.2037,0.3386,-0.1006
"Kurtosis",0.439,0.4861,-0.007,0.5434,0.3551,0.4989,0.2169,0.5866,-0.2505,-0.0812
