"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0292,0.0338,0.0767,0.0668,0.0243,0.0231,0.0253,0.0463,0.0455,0.0238
"Gain Deviation",0.0276,0.0295,0.0833,0.0601,0.0244,0.0197,0.0242,0.0468,0.0466,0.0239
"Loss Deviation",0.0215,0.026,0.0654,0.0617,0.0194,0.0159,0.0194,0.0387,0.0386,0.0184
"Downside Deviation (MAR=10%)",0.0272,0.03,0.0764,0.0678,0.0214,0.0199,0.0221,0.0452,0.0443,0.0209
"Downside Deviation (Rf=0%)",0.0228,0.0258,0.0719,0.0634,0.0175,0.0158,0.0182,0.0407,0.0398,0.017
"Downside Deviation (0%)",0.0228,0.0258,0.0719,0.0634,0.0175,0.0158,0.0182,0.0407,0.0398,0.017
"Maximum Drawdown",0.1299,0.1192,0.6949,0.6358,0.1259,0.0851,0.0845,0.4691,0.4653,0.1131
"Historical VaR (95%)",-0.0504,-0.0589,-0.183,-0.1348,-0.0446,-0.0382,-0.0415,-0.0981,-0.1044,-0.0402
"Historical ES (95%)",-0.0661,-0.0776,-0.2189,-0.1933,-0.0547,-0.0469,-0.058,-0.1281,-0.1255,-0.0529
"Modified VaR (95%)",-0.0561,-0.0635,-0.1536,-0.1397,-0.0421,-0.0394,-0.0439,-0.0932,-0.091,-0.0408
"Modified ES (95%)",-0.0705,-0.0842,-0.1877,-0.1923,-0.0561,-0.0504,-0.0589,-0.1209,-0.1171,-0.0546
