"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0841,-0.1192,-0.2416,-0.2522,-0.0662,-0.0546,-0.0666,-0.1419,-0.1386,-0.0637
"Quartile 1",-0.0151,-0.0181,-0.0672,-0.0416,-0.0038,-0.0096,-0.0083,-0.0348,-0.0319,-0.0034
"Median",0.0139,0.0192,0.0159,0.0142,0.0147,0.0178,0.0166,0.0106,0.0078,0.0147
"Arithmetic Mean",0.012,0.0152,0.009,0.0065,0.0138,0.0143,0.0144,0.0103,0.0106,0.0139
"Geometric Mean",0.0112,0.0141,0.0027,0.0021,0.0132,0.0138,0.0138,0.0081,0.0084,0.0133
"Quartile 3",0.0339,0.0443,0.0667,0.0659,0.0323,0.0363,0.0317,0.0543,0.0522,0.0349
"Maximum",0.1124,0.1264,0.4282,0.3544,0.1075,0.0909,0.1052,0.2416,0.2422,0.109
"SE Mean",0.0049,0.0056,0.0134,0.0111,0.0041,0.0037,0.0042,0.008,0.0079,0.004
"LCL Mean (0.95)",0.0022,0.0041,-0.0178,-0.0156,0.0056,0.0068,0.006,-0.0056,-0.0052,0.0059
"UCL Mean (0.95)",0.0219,0.0263,0.0357,0.0286,0.0219,0.0218,0.0228,0.0262,0.0263,0.0219
"Variance",0.0018,0.0022,0.013,0.0088,0.0012,0.001,0.0013,0.0046,0.0045,0.0012
"Stdev",0.0419,0.0472,0.1139,0.094,0.0347,0.0318,0.0357,0.0676,0.067,0.034
"Skewness",0.0434,-0.1189,0.5629,0.1475,0.0836,-0.1577,-0.0019,0.2889,0.3373,0.0818
"Kurtosis",-0.3588,-0.0341,2.029,1.8104,0.1037,-0.5095,0.0279,0.9422,1.0199,0.1029
