"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.12188050229637,0.12270267457755,0.129268150000358,0.949210417084262,-0.69454947858268,1.52307701498277,-0.0564445592971467,-0.087600975664389,0.265155666921656,-0.333103986314251
"top_10_alpha",1.62712487755618,0.160207036087083,0.137509756366404,1.16505941338592,-0.587584322674522,1.00496414938997,-0.057163818476302,-0.0854100788382376,0.281670627489488,0.12315793428627
"bot_10_ratio",0.87799270268465,0.101810112151017,0.248877966642858,0.40907643824138,0.191503486766022,-0.13721144096294,-0.103051664749978,-0.127365910067523,0.329962389591954,-0.238756485486332
"bot_10_alpha",1.07290233432332,0.118676299210851,0.248223472964263,0.478102645948948,0.368543702768747,-0.0208962447727452,-0.0976297924253391,-0.119128373915886,0.328597426644722,-0.153457729300598
"bm_ex_ratio",1.55909916243169,0.155533745915408,0.105222971552864,1.47813489412117,-0.156142254340003,-0.033784867154603,-0.0384164474668492,-0.0519362658369448,0.0942378213118313,0.177697681782812
"top_10_ratio_pct",1.54181542693616,0.154329641577739,0.0985155555769915,1.56655099465107,-0.268170507479315,0.547650272221055,-0.0358521052249828,-0.0524503427602948,0.0975746860667611,0.141068068098596
"top_10_alpha_pct",1.34216387407665,0.139893288531519,0.11355372656205,1.23195682578568,-0.698654317410333,0.887129514366744,-0.0476541279956868,-0.0693883920951493,0.118665585652905,-0.169755515135782
"bot_10_ratio_pct",1.51755522143642,0.152627767402356,0.138098940190321,1.10520592838737,0.0624893645507111,0.00314314589578224,-0.0517603853928568,-0.0676020680123322,0.151634793576527,0.037968895146394
"bot_10_alpha_pct",1.2934328365765,0.136212044301631,0.194669887472299,0.699707828829015,0.18763132978123,-0.313548185028313,-0.0769459050833255,-0.0947044613857224,0.285234716161336,-0.0957670124509243
"bm_ex_ratio_pct",1.54758060806381,0.154732051861193,0.104318519788976,1.48326540842603,-0.207688182695913,-0.185938160624907,-0.0385637507882263,-0.0512344516449953,0.0976076203294093,0.134736365670075
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",-0.173289687266272,-0.0288526452068832,0.228742794383439,-0.12613575559682,-0.345042819360041,-0.0993533604857442,-0.114574748626162,-0.144102601667756,0.484702583658201,-0.660768489241058
"long_short_ratio_pct",-0.0407527447398323,-0.00638054366620355,0.0823426003666071,-0.0774877601362599,-0.09416543780725,0.441514941020686,-0.0395186329608966,-0.0518297422315529,0.212730262801293,-1.0714660062719
"long_short_alpha",-0.0695501817623041,-0.0110290573680524,0.233598193408581,-0.0472137956510721,-0.43185760978028,0.345147950945355,-0.116353204950803,-0.153688218443861,0.469350991146839,-0.597508494670379
"long_short_alpha_pct",-0.140571905499337,-0.0230363801329105,0.170231190907836,-0.135324084910987,-0.396109473069511,-0.210010703459171,-0.0866000912419236,-0.107123490247303,0.361092901520233,-0.801157718084843
