"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",4.45410236412832,0.298201312254974,0.161674889003034,1.8444503911141,-0.185673938528442,0.374202522398437,-0.0552947793524201,-0.0800856821306241,0.152098636216845,1.22242417665453
"top_10_alpha",5.48097324078908,0.333115344925095,0.178299533875639,1.86829061010018,-0.415984252348575,0.409717410812004,-0.0640284137091664,-0.0933252672061912,0.166789231288622,1.39143323759439
"bot_10_ratio",1.39018360928362,0.143457939824023,0.293370130653832,0.488999815708228,0.42244813151593,0.128653924396317,-0.113128045293996,-0.138366311748348,0.585162803899359,-0.0259761179094323
"bot_10_alpha",1.23772262250291,0.13192159756202,0.28878770959329,0.456811675773218,0.4009291212481,0.593346812874043,-0.111836952648672,-0.139884480702976,0.556311938472965,-0.0753827823836292
"bm_ex_ratio",2.0912517020225,0.189611865931588,0.126242469107796,1.5019657590005,-0.0679404480593679,0.324825894933191,-0.04479478382435,-0.0626428030618911,0.118527018337316,0.5534618180272
"top_10_ratio_pct",2.83792687233695,0.229875159977106,0.128071882910922,1.79489170263071,-0.19863537363788,0.348726267238452,-0.0441500838148094,-0.063714413308924,0.107490651235978,1.1098269511119
"top_10_alpha_pct",4.09945582441188,0.284842283577284,0.158242959402678,1.80003132305211,-0.280096205898511,-0.0376114432805368,-0.0561117314075356,-0.0771044123939083,0.151034418194483,1.34034896934007
"bot_10_ratio_pct",1.64648902863064,0.161518600357837,0.155206755134133,1.04066733576286,0.167817636257409,0.614071565639261,-0.0569926409773671,-0.0765918470504946,0.210831858236116,0.117703960583491
"bot_10_alpha_pct",1.12184759659475,0.122699995998405,0.220795218992588,0.555718536652388,0.270920404440831,-0.300332821342896,-0.0879258406333284,-0.106817530266364,0.463542491825151,-0.159667308278249
"bm_ex_ratio_pct",2.1630655569908,0.193822396159691,0.124436154179191,1.55760516256861,-0.112997569327246,-0.0845834846180482,-0.0444019342672284,-0.0597453504835789,0.119539347203855,0.591403995777844
"sp500",1.47845249253277,0.149855240924013,0.0971685740003592,1.5422192047756,-0.293480426207042,0.265214432208906,-0.0358819308346168,-0.0506891146515081,0.0835849178357048,NA
"sp1500",1.48281756256856,0.150166568116696,0.0974867332053769,1.54037952836452,-0.304116827415894,0.182408420809972,-0.0361415125353163,-0.0505135179170862,0.0838258164852256,0.0486403691347419
"long_short_ratio",0.527453506258124,0.0673399599187059,0.264876816488927,0.254231234017874,-0.307704545695465,0.189854166363859,-0.122806164030111,-0.162006885239986,0.489046359420109,-0.269704557085445
"long_short_ratio_pct",0.402668657187166,0.0534367762016605,0.0664794936185857,0.80380841208335,0.219607752751545,0.821219013492309,-0.0253116208224777,-0.033637748945762,0.1206028133978,-0.7410750982511
"long_short_alpha",1.03723662510936,0.115693344443174,0.25238082383099,0.458407824679458,-0.351642873524297,0.9633704661314,-0.112904309689691,-0.162903587998106,0.500358778191657,-0.116834645224683
"long_short_alpha_pct",1.04418852908971,0.116278225613776,0.174882097964762,0.664894960473343,-0.182846566995193,-0.025858287177984,-0.0746414578277154,-0.0974154463778183,0.313163219632616,-0.158366969680307
