"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0249,0.0259,0.0636,0.0656,0.0218,0.0216,0.026,0.0287,0.0677,0.0297
"Gain Deviation",0.0196,0.0231,0.1002,0.0936,0.0217,0.0183,0.0246,0.0302,0.0986,0.0345
"Loss Deviation",0.0215,0.0214,0.053,0.0554,0.0183,0.0181,0.0219,0.0245,0.0565,0.0213
"Downside Deviation (MAR=10%)",0.0252,0.0259,0.0667,0.0689,0.0202,0.0215,0.0257,0.0291,0.0705,0.026
"Downside Deviation (Rf=0%)",0.0209,0.0216,0.0619,0.0641,0.0161,0.0172,0.0215,0.0246,0.0658,0.0217
"Downside Deviation (0%)",0.0209,0.0216,0.0619,0.0641,0.0161,0.0172,0.0215,0.0246,0.0658,0.0217
"Maximum Drawdown",0.1937,0.2223,0.6713,0.6877,0.1442,0.1951,0.2216,0.3506,0.6992,0.2038
"Historical VaR (95%)",-0.0497,-0.0495,-0.1428,-0.1451,-0.0456,-0.0421,-0.0474,-0.0592,-0.1468,-0.0493
"Historical ES (95%)",-0.0628,-0.0637,-0.1706,-0.1835,-0.051,-0.0564,-0.0635,-0.0734,-0.1868,-0.0678
"Modified VaR (95%)",-0.0506,-0.0517,-0.1066,-0.12,-0.0381,-0.0418,-0.0506,-0.0547,-0.1168,-0.0517
"Modified ES (95%)",-0.0649,-0.0667,-0.1913,-0.1571,-0.0518,-0.0554,-0.0664,-0.0698,-0.1677,-0.0653
